codec_insee	assoc_eur
59001	0
59002	0
59003	0
59005	0
59006	0
59007	0
59008	0
59009	1
59011	0
59012	1
59013	0
59014	0
59015	0
59017	1
59018	0
59019	0
59021	0
59022	0
59024	0
59025	0
59027	0
59028	0
59029	0
59031	0
59032	0
59033	0
59034	0
59035	0
59036	0
59037	0
59038	0
59039	0
59041	0
59042	0
59043	1
59044	0
59045	0
59046	0
59047	0
59050	0
59051	0
59052	0
59053	0
59054	0
59055	0
59056	0
59057	0
59058	0
59062	0
59063	0
59064	0
59065	0
59066	0
59067	0
59068	0
59070	0
59071	0
59072	0
59073	0
59074	0
59075	0
59076	0
59077	0
59078	0
59079	0
59080	0
59082	0
59084	0
59085	0
59086	0
59087	0
59088	0
59089	0
59090	0
59091	0
59092	0
59093	0
59094	0
59096	0
59097	0
59098	0
59099	0
59100	0
59101	0
59103	0
59104	0
59105	0
59106	0
59107	0
59109	0
59110	0
59111	0
59112	0
59113	0
59114	0
59115	0
59116	0
59117	0
59118	0
59120	0
59121	0
59122	0
59123	0
59124	1
59125	0
59126	0
59127	0
59128	0
59129	0
59130	0
59131	0
59132	0
59133	0
59134	0
59135	0
59136	0
59137	0
59138	0
59139	0
59142	0
59143	0
59144	0
59145	0
59146	0
59148	0
59149	0
59150	0
59151	0
59152	1
59153	0
59155	0
59156	0
59157	0
59158	0
59160	0
59163	1
59165	0
59166	0
59168	0
59169	0
59170	0
59172	0
59173	0
59174	0
59175	0
59178	1
59179	0
59180	0
59181	0
59183	1
59185	0
59186	0
59187	0
59189	0
59190	0
59191	0
59193	1
59194	0
59197	0
59198	0
59199	0
59201	0
59202	0
59203	0
59204	0
59205	0
59206	0
59207	0
59208	0
59209	0
59210	0
59211	0
59212	1
59213	0
59215	0
59216	0
59218	0
59219	0
59220	0
59221	0
59222	0
59223	0
59224	0
59225	0
59226	0
59227	0
59228	0
59229	1
59230	0
59231	0
59232	0
59233	0
59234	0
59238	0
59239	0
59241	0
59242	0
59243	0
59244	0
59246	0
59247	0
59249	1
59250	0
59251	0
59252	0
59253	0
59254	0
59255	0
59256	0
59257	0
59258	0
59259	0
59260	0
59261	0
59262	0
59264	0
59265	0
59266	0
59267	0
59268	0
59269	0
59271	0
59272	0
59273	0
59275	0
59276	0
59277	0
59278	0
59279	0
59280	0
59281	0
59282	0
59283	0
59284	0
59285	0
59286	0
59288	0
59290	0
59291	0
59292	0
59295	0
59296	0
59297	0
59299	0
59301	0
59302	0
59303	0
59305	0
59306	0
59308	0
59309	0
59310	0
59313	0
59314	0
59315	0
59316	0
59317	0
59318	0
59319	0
59320	0
59321	0
59322	0
59323	0
59324	0
59325	0
59327	0
59328	1
59329	0
59330	0
59331	0
59332	0
59334	0
59335	0
59338	0
59339	0
59340	0
59341	0
59342	0
59343	0
59344	0
59345	0
59346	0
59347	0
59348	0
59349	0
59350	1
59351	0
59352	0
59353	0
59356	0
59357	0
59359	0
59360	0
59361	0
59363	0
59364	0
59365	0
59367	0
59368	1
59369	0
59370	0
59371	0
59372	0
59374	0
59375	0
59378	1
59381	0
59382	0
59383	0
59384	0
59385	0
59386	0
59387	0
59388	0
59389	1
59390	0
59392	0
59393	0
59394	0
59396	0
59397	0
59398	0
59399	0
59400	0
59401	0
59403	0
59408	0
59409	0
59410	0
59411	0
59414	0
59416	0
59418	0
59419	0
59420	0
59421	1
59422	0
59423	0
59424	0
59425	0
59426	0
59428	0
59429	0
59430	0
59431	0
59432	0
59434	0
59435	1
59437	0
59438	0
59439	0
59441	0
59442	0
59445	0
59446	0
59447	0
59448	0
59449	0
59451	0
59452	0
59454	0
59455	0
59456	0
59457	0
59458	0
59459	0
59461	0
59462	0
59464	0
59465	0
59466	0
59467	0
59468	0
59470	0
59471	0
59472	0
59473	0
59474	0
59475	0
59476	0
59477	0
59479	0
59480	0
59481	0
59482	0
59483	0
59484	0
59485	0
59486	0
59488	0
59489	0
59490	0
59491	0
59492	0
59494	0
59495	0
59497	0
59499	0
59500	0
59501	0
59504	0
59505	0
59506	0
59507	0
59508	0
59509	0
59511	0
59512	1
59513	0
59514	0
59516	0
59517	0
59518	0
59519	0
59520	0
59522	0
59523	0
59524	0
59525	0
59526	0
59527	0
59528	0
59530	0
59531	0
59533	0
59534	0
59535	0
59536	0
59541	0
59542	0
59543	0
59544	0
59545	0
59546	0
59548	0
59550	0
59551	0
59553	0
59554	0
59555	0
59557	0
59558	0
59559	0
59560	0
59562	0
59563	0
59564	0
59565	0
59566	0
59567	0
59569	0
59570	0
59571	0
59572	0
59573	0
59574	0
59575	0
59576	0
59578	0
59579	0
59580	0
59581	0
59583	0
59584	0
59585	0
59586	0
59588	0
59589	0
59591	0
59592	0
59593	0
59594	0
59595	0
59596	0
59597	0
59598	0
59599	1
59600	0
59601	0
59602	0
59603	0
59604	0
59605	0
59606	1
59607	0
59608	0
59609	0
59610	0
59611	0
59612	0
59613	0
59614	0
59615	0
59616	0
59617	0
59618	0
59619	0
59620	0
59623	0
59624	0
59626	0
59627	0
59628	0
59629	0
59630	0
59631	0
59632	0
59633	0
59635	0
59636	0
59637	0
59638	0
59639	0
59640	0
59641	0
59642	0
59643	0
59646	0
59648	0
59649	0
59650	0
59651	0
59653	0
59654	0
59656	0
59657	0
59658	0
59659	0
59660	0
59661	0
59662	0
59663	0
59666	0
59668	0
59669	0
59670	0
