code	natl	asso2024	asso2020
59002	POL	1	0
59005	POL	1	0
59008	ESP	1	0
59008	ITA	1	0
59009	BEL	1	0
59009	DEU	1	0
59009	ESP	1	0
59009	GRC	1	0
59009	HUN	1	0
59009	IRL	1	0
59009	ITA	1	0
59009	NLD	1	0
59009	POL	1	0
59009	PRT	1	0
59009	ROU	1	0
59011	DEU	1	0
59011	ITA	1	0
59011	NLD	1	0
59012	ESP	1	0
59012	POL	1	0
59012	SWE	1	0
59014	BEL	1	0
59014	DEU	1	0
59014	ITA	1	0
59017	BEL	1	0
59017	ESP	1	0
59017	LUX	1	0
59017	NLD	1	0
59017	PRT	1	0
59017	ROU	1	0
59028	ESP	1	0
59028	POL	1	0
59032	ESP	1	0
59033	DEU	1	0
59033	POL	1	0
59035	ITA	1	0
59036	BEL	1	0
59036	HRV	1	0
59036	ITA	1	0
59037	DEU	1	0
59043	BEL	1	0
59043	DEU	1	0
59043	NLD	1	0
59044	ROU	1	0
59046	BEL	1	0
59052	ITA	1	0
59053	BEL	1	0
59054	BEL	1	0
59067	BEL	1	0
59068	BEL	1	0
59068	ESP	1	0
59068	NLD	1	0
59071	BEL	1	0
59073	BEL	1	0
59076	BEL	1	0
59079	ITA	1	0
59086	BEL	1	0
59086	NLD	1	0
59089	BEL	1	0
59090	BEL	1	0
59090	ESP	1	0
59090	NLD	1	0
59090	PRT	1	0
59091	ESP	1	0
59092	DEU	1	0
59092	DNK	1	0
59092	ITA	1	0
59098	ESP	1	0
59098	PRT	1	0
59101	BEL	1	0
59107	BEL	1	0
59107	NLD	1	0
59109	HRV	1	0
59110	BEL	1	0
59112	DEU	1	0
59112	ITA	1	0
59112	POL	1	0
59113	POL	1	0
59120	BEL	1	0
59122	CZE	1	0
59122	DEU	1	0
59122	ESP	1	0
59122	HUN	1	0
59122	NLD	1	0
59122	POL	1	0
59122	PRT	1	0
59122	SVK	1	0
59131	BEL	1	0
59135	BEL	1	0
59136	BEL	1	0
59136	DEU	1	0
59136	ESP	1	0
59136	ITA	1	0
59139	ESP	1	0
59139	ITA	1	0
59140	IRL	1	0
59143	DEU	1	0
59144	BEL	1	0
59145	BEL	1	0
59150	BEL	1	0
59151	DEU	1	0
59152	BEL	1	0
59152	DEU	1	0
59152	ESP	1	0
59152	ITA	1	0
59152	PRT	1	0
59152	ROU	1	0
59153	BEL	1	0
59153	DEU	1	0
