"natl","iso3c","keywords"
"Allemande","DEU","[^A-Za-z]allema|[^A-Za-z]german|[^A-Za-z]deutsch|[^A-Za-z]bavaro|[^A-Za-z]berlin"
"Autrichienne","AUT","[^A-Za-z]autrich|österre|osterre|Österre"
"Belge","BEL","[^A-Za-z]belge|[^A-Za-z]wallon|[^A-Za-z]flamand"
"Bulgare","BGR","[^A-Za-z]bulgar"
"Chypriote","CYP","[^A-Za-z]chypr"
"Croate","HRV","[^A-Za-z]croat|[^A-Za-z]Hrvat|[^A-Za-z]zagre"
"Danoise","DNK","[^A-Za-z]danois|[^A-Za-z]danemark|[^A-Za-z]Dansk"
"Espagnole","ESP","[^A-Za-z]espagn|[^A-Za-z]iber|[^A-Za-z]ibér|[^A-Za-z]catalan|[^A-Za-z]espan|[^A-Za-z]galici|[^A-Za-z]basq|[^A-Za-z]euskad|[^A-Za-z]madri|[^A-Za-z]barc+.*|[^A-Za-z]valencia|real[^A-Za-z]"
"Estonienne","EST","[^A-Za-z]estoni"
"Finlandaise","FIN","[^A-Za-z]finland|[^A-Za-z]finnois|[^A-Za-z]suomalais"
"Grecque","GRC","[^A-Za-z]grec|[^A-Za-z]hellen|[^A-Za-z]cretoi|[^A-Za-z]crêtoi|[^A-Za-z]crete|[^A-Za-z]crête|[^A-Za-z]panath|kos[^A-Za-z]|[^A-Za-z]athen"
"Hongroise","HUN","[^A-Za-z]hongr|[^A-Za-z]magyar"
"Irlandaise","IRL","[^A-Za-z]irland|[^A-Za-z]irish"
"Italienne","ITA","[^A-Za-z]itali|[^A-Za-z]lombard|[^A-Za-z]sicil|[^A-Za-z]toscan|[^A-Za-z]calabr|[^A-Za-z]milan|[^A-Za-z]rome[^A-Za-z]|[^A-Za-z]roma[^A-Za-z]|[^A-Za-z]venis|[^A-Za-z]napoli|[^A-Za-z]naple"
"Lettonne","LVA","[^A-Za-z]letton|[^A-Za-z]balte|[^A-Za-z]latvie"
"Lithuanienne","LTU","[^A-Za-z]lithuani|[^A-Za-z]balte|[^A-Za-z]lietuv|[^A-Za-z]kauno|[^A-Za-z]kaunas|[^A-Za-z]žalgir|[^A-Za-z]zalgir|[^A-Za-z]Žalgir|[^A-Za-z]vilni"
"Luxembourgeoise","LUX","[^A-Za-z]Luxembourg|[^A-Za-z]lux"
"Maltaise","MLT","[^A-Za-z]malte|[^A-Za-z]maltais"
"Néerlandaise","NLD","[^A-Za-z]nederland|[^A-Za-z]neerland|[^A-Za-z]néerland|[^A-Za-z]holland|[^A-Za-z]pays-bas|plat[^A-Za-z]|plat pays|[^A-Za-z]ajax"
"Polonaise","POL","[^A-Za-z]pologne|[^A-Za-z]polonais|[^A-Za-z]polsk|[^A-Za-z]polacy"
"Portugaise","PRT","[^A-Za-z]portuga|[^A-Za-z]lusitan|[^A-Za-z]lisboe|[^A-Za-z]belfic"
"Roumaine","ROU","[^A-Za-z]roumain|[^A-Za-z]roumanie"
"Slovaque","SVK","[^A-Za-z]slovaqu|[^A-Za-z]slovác|[^A-Za-z]slovac|[^A-Za-z]slovensk"
"Slovène","SVN","[^A-Za-z]slovene|[^A-Za-z]slovène|[^A-Za-z]slovenc"
"Suédoise","SWE","[^A-Za-z]suede|[^A-Za-z]suedois|[^A-Za-z]suède|[^A-Za-z]suédois|[^A-Za-z]svensk"
"Tchèque","CZE","[^A-Za-z]tchequ|[^A-Za-z]tchéqu|[^A-Za-z]cesi|[^A-Za-z]vienne[^A-Za-z]"
