code	city	border
59001	Abancourt	0
59002	Abscon	0
59003	Aibes	0
59004	Aix-en-Pévèle	1
59005	Allennes-les-Marais	0
59006	Amfroipret	0
59007	Anhiers	0
59008	Aniche	0
59009	Villeneuve-d'Ascq	0
59010	Anneux	0
59011	Annœullin	0
59012	Anor	1
59013	Anstaing	0
59014	Anzin	0
59015	Arleux	0
59016	Armbouts-Cappel	0
59017	Armentières	1
59018	Arnèke	0
59019	Artres	0
59021	Assevent	0
59022	Attiches	0
59023	Aubencheul-au-Bac	0
59024	Auberchicourt	0
59025	Aubers	0
59026	Aubigny-au-Bac	0
59027	Aubry-du-Hainaut	0
59028	Auby	0
59029	Auchy-lez-Orchies	0
59031	Audignies	0
59032	Aulnoy-lez-Valenciennes	0
59033	Aulnoye-Aymeries	0
59034	Avelin	0
59035	Avesnelles	0
59036	Avesnes-sur-Helpe	0
59037	Avesnes-les-Aubert	0
59038	Avesnes-le-Sec	0
59039	Awoingt	0
59041	Bachant	0
59042	Bachy	1
59043	Bailleul	1
59044	Baisieux	1
59045	Baives	1
59046	Bambecque	1
59047	Banteux	0
59048	Bantigny	0
59049	Bantouzelle	0
59050	Bas-Lieu	0
59051	La Bassée	0
59052	Bauvin	0
59053	Bavay	0
59054	Bavinchove	0
59055	Bazuel	0
59056	Beaucamps-Ligny	0
59057	Beaudignies	0
59058	Beaufort	0
59059	Beaumont-en-Cambrésis	0
59060	Beaurain	0
59061	Beaurepaire-sur-Sambre	0
59062	Beaurieux	1
59063	Beauvois-en-Cambrésis	0
59064	Bellaing	0
59065	Bellignies	0
59066	Bérelles	0
59067	Bergues	0
59068	Berlaimont	0
59069	Bermerain	0
59070	Bermeries	0
59071	Bersée	0
59072	Bersillies	0
59073	Berthen	0
59074	Bertry	0
59075	Béthencourt	0
59076	Bettignies	1
59077	Bettrechies	1
59078	Beugnies	0
59079	Beuvrages	0
59080	Beuvry-la-Forêt	0
59081	Bévillers	0
59082	Bierne	0
59083	Bissezeele	0
59084	Blaringhem	0
59085	Blécourt	0
59086	Boeschepe	1
59087	Boëseghem	0
59088	Bois-Grenier	0
59089	Bollezeele	0
59090	Bondues	0
59091	Borre	0
59092	Bouchain	0
59093	Boulogne-sur-Helpe	0
59094	Bourbourg	0
59096	Bourghelles	0
59097	Boursies	0
59098	Bousbecque	1
59099	Bousies	0
59100	Bousignies	0
59101	Bousignies-sur-Roc	1
59102	Boussières-en-Cambrésis	0
59103	Boussières-sur-Sambre	0
59104	Boussois	0
59105	Bouvignies	0
59106	Bouvines	0
59107	Bray-Dunes	1
59108	Briastre	0
59109	Brillon	0
59110	Brouckerque	0
59111	Broxeele	0
59112	Bruay-sur-l'Escaut	0
59113	Bruille-lez-Marchiennes	0
59114	Bruille-Saint-Amand	0
59115	Brunémont	0
59116	Bry	1
59117	Bugnicourt	0
59118	Busigny	0
59119	Buysscheure	0
59120	Caëstre	0
59121	Cagnoncles	0
59122	Cambrai	0
59123	Camphin-en-Carembault	0
59124	Camphin-en-Pévèle	1
59125	Cantaing-sur-Escaut	0
59126	Cantin	0
59127	Capelle	0
59128	Capinghem	0
59129	Cappelle-en-Pévèle	0
59130	Cappelle-Brouck	0
59131	Cappelle-la-Grande	0
59132	Carnières	0
59133	Carnin	0
59134	Cartignies	0
59135	Cassel	0
59136	Le Cateau-Cambrésis	0
59137	Catillon-sur-Sambre	0
59138	Cattenières	0
59139	Caudry	0
59140	Caullery	0
59141	Cauroir	0
59142	Cerfontaine	0
59143	La Chapelle-d'Armentières	0
59144	Château-l'Abbaye	0
59145	Chemy	0
59146	Chéreng	0
59147	Choisies	0
59148	Clairfayts	1
59149	Clary	0
59150	Cobrieux	0
59151	Colleret	1
59152	Comines	1
59153	Condé-sur-l'Escaut	1
59155	Coudekerque-Branche	0
59156	Courchelettes	0
59157	Cousolre	1
59158	Coutiches	0
59159	Craywick	0
59160	Crespin	1
59161	Crèvecœur-sur-l'Escaut	0
59162	Crochte	0
59163	Croix	0
59164	Croix-Caluyau	0
59165	Cuincy	0
59166	Curgies	0
59167	Cuvillers	0
