code	pop	pop_fem	pop_60	pop_bac2	pop_ouvr
59001	459	48.25	27.93	13.53	9.33
59002	4203	52.29	27.1	6.01	14.35
59003	364	52.88	24.52	6.58	9.91
59004	1358	49.87	19.73	12.28	13.03
59005	3567	51.41	22.19	11.01	14.05
59006	223	50	17.36	13.64	10.33
59007	893	50.59	21.92	7.02	14.51
59008	9997	52.21	19.88	5.13	14.36
59009	62067	51.35	19.9	7.41	12.42
59010	260	53.71	24.6	7.7	21
59011	10780	47.84	23.05	8.37	16.84
59012	3204	51.59	25.21	6.03	10.6
59013	1601	50.65	20.79	9.38	8.47
59014	13422	52.13	22.21	4.74	13.72
59015	3151	53.2	26.5	7.68	14.29
59016	2125	50.5	31.78	10.05	12.19
59017	25581	51.28	21.59	7.05	15.73
59018	1561	52.58	34.27	7.1	11.13
59019	1064	50.14	24.23	10.96	6.05
59021	1796	52.88	26.84	9.32	14.95
59022	2238	50.73	26.04	10.28	11.19
59023	538	51.94	27.54	7.46	13.98
59024	4626	51.85	26.82	6.97	14.42
59025	1722	50.56	28.12	12.82	8.56
59026	1159	50.11	23.38	8.45	16.71
59027	1726	52.43	29.64	10.72	11.15
59028	7188	51.92	24.5	4.9	13.83
59029	1486	50.89	22.96	11.16	10.43
59031	369	48.48	22.99	14.98	15.11
59032	7183	50.03	23.65	5.7	13.48
59033	8756	52.97	27.53	5.76	13.84
59034	2600	50.52	27.77	12.23	9.16
59035	2280	53.49	32.39	6.21	12.96
59036	4118	51.8	27.59	4.63	14.51
59037	3606	50.1	26.63	7.6	12.58
59038	1447	50.11	22.48	8.5	14.61
59039	790	49.4	21.7	11.8	12.5
59041	2258	51.3	24.73	6.48	15.59
59042	1883	50.71	22.05	10.84	9.25
59043	14869	51.91	28.12	9.89	14.34
59044	5177	51.39	20.79	11.46	13.57
59045	163	54.43	28.48	5.06	9.49
59046	832	47.87	18.6	9.76	8.92
59047	351	48.5	21.86	6.05	9.97
59048	507	49.07	28.65	11.17	10.13
59049	440	46.68	17.32	6.17	13.7
59050	339	47.26	28.35	6.14	5.68
59051	6622	52.13	24.41	8.94	16.28
59052	4999	52.03	25.25	9.32	16.59
59053	3246	53.26	31.49	6.93	15.46
59054	1046	52.18	23.19	8.36	11.69
59055	537	49.35	27.71	7.5	13.5
59056	844	51.32	25.78	8.53	9.84
59057	568	47.2	25.56	9.45	14.89
59058	1024	49.96	27.67	11.16	11.34
59059	452	53.38	28.93	4.4	16.41
59060	233	51.07	21.46	12.45	10.73
59061	275	48.88	21.46	7.47	7.56
59062	164	49.69	31.29	6.75	9.2
