code	density	density4
59001	83.38	3
59002	582.37	2
59003	40.1	3
59004	208.29	3
59005	652.18	2
59006	146.81	3
59007	525.15	2
59008	1537.26	2
59009	2273.75	1
59010	48.05	4
59011	1207.59	2
59012	145.05	3
59013	702.87	2
59014	3685.38	1
59015	284.4	3
59016	211.98	3
59017	4117.22	2
59018	117.05	3
59019	164.75	3
59021	966.88	2
59022	335.22	3
59023	169.37	3
59024	655.79	2
59025	172.61	3
59026	227.08	3
59027	402.08	1
59028	1008.85	2
59029	193.12	3
59031	104.97	3
59032	1188.56	1
59033	1035.68	2
59034	189.95	3
59035	182	2
59036	1836.6	2
59037	402.09	2
59038	138.82	3
59039	128.65	2
59041	240.79	2
59042	296.68	2
59043	345.43	2
59044	598.74	2
59045	21.04	4
59046	70.18	3
59047	57.24	3
59048	161.33	3
59049	57.91	3
59050	45.37	3
59051	1876.99	2
59052	1297.51	2
59053	318.81	3
59054	124.18	3
59055	45.99	3
59056	171.14	3
59057	72.33	3
59058	80.61	3
59059	138.07	2
59060	234.96	4
59061	34.95	3
59062	23.08	4
59063	557.01	2
59064	392.66	2
59065	158.03	3
59066	28.87	4
59067	2673.31	2
59068	243.58	2
59069	116.58	3
59070	71.88	3
59071	209.7	3
59072	88.12	3
59073	117.62	3
59074	253.28	3
59075	139.58	2
59076	67.63	4
59077	79.29	4
59078	68.9	3
59079	2276.75	1
59080	227.48	3
59081	116.56	3
59082	161.54	2
59083	71.34	3
59084	113.09	3
59085	86.51	3
59086	160.34	3
59087	105.84	3
59088	244.05	3
59089	82.18	3
59090	757.5	2
59091	98.48	3
59092	322.91	2
59093	36.11	3
59094	183.39	2
59096	259.55	2
59097	51.48	4
59098	759.99	2
59099	181.98	3
59100	114.29	3
59101	31.72	3
59102	93.17	3
59103	158.5	2
59104	504.69	2
59105	181.11	3
59106	282.47	2
59107	515.17	2
59108	103.11	3
59109	273.75	3
59110	122.7	3
59111	107.68	3
59112	1696.38	1
59113	309.82	3
59114	213.8	3
59115	353.16	3
59116	144.94	3
59117	171.34	3
59118	148.6	3
59119	95.95	3
59120	199.23	3
