code	city	n_ins	n_nat	n_eur	n_hu	n_nl	n_it	n_be	n_pt	n_bg	n_cz	n_de	n_dk	n_es	n_fi	n_gr	n_ie	n_pl	n_ro	n_se	n_sk	n_at	n_lu	n_lt	n_cy	n_lv	n_si	n_hr	n_ee
59001	Abancourt	372	368	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59002	Abscon	2997	2994	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59003	Aibes	281	253	28	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59004	Aix-en-Pévèle	982	982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59005	Allennes-les-Marais	3006	2998	8	0	0	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59006	Amfroipret	195	189	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59007	Anhiers	649	643	6	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59008	Aniche	6817	6783	34	0	0	7	22	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59009	Villeneuve-d'Ascq	40370	40125	245	4	21	28	89	35	2	2	25	2	18	2	4	4	1	4	2	2	0	0	0	0	0	0	0	0
59010	Anneux	181	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59011	Annœullin	7671	7648	23	0	2	3	7	7	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59012	Anor	2379	2323	56	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59013	Anstaing	1280	1260	20	0	0	4	6	2	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
59014	Anzin	8629	8586	43	0	0	14	23	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59015	Arleux	2416	2402	14	0	0	4	1	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
59016	Armbouts-Cappel	1840	1840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59017	Armentières	17831	17688	143	0	4	15	63	50	0	0	1	0	6	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
59018	Arnèke	1134	1130	4	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59019	Artres	771	765	6	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59021	Assevent	1252	1239	13	0	0	3	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59022	Attiches	1905	1904	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59023	Aubencheul-au-Bac	425	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59024	Auberchicourt	3234	3226	8	0	0	0	4	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59025	Aubers	1521	1512	9	0	0	1	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59026	Aubigny-au-Bac	895	895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59027	Aubry-du-Hainaut	1276	1272	4	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59028	Auby	4914	4886	28	0	0	2	4	0	0	0	2	0	16	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
59029	Auchy-lez-Orchies	1115	1112	3	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59031	Audignies	298	286	12	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59032	Aulnoy-lez-Valenciennes	4596	4572	24	0	4	5	3	4	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
