code	city	pop21
59001	Abancourt	475
59002	Abscon	4235
59003	Aibes	371
59004	Aix-en-Pévèle	1368
59005	Allennes-les-Marais	3627
59006	Amfroipret	227
59007	Anhiers	902
59008	Aniche	10057
59009	Villeneuve-d'Ascq	62700
59010	Anneux	261
59011	Annœullin	10879
59012	Anor	3240
59013	Anstaing	1626
59014	Anzin	13504
59015	Arleux	3177
59016	Armbouts-Cappel	2169
59017	Armentières	25950
59018	Arnèke	1578
59019	Artres	1075
59021	Assevent	1811
59022	Attiches	2268
59023	Aubencheul-au-Bac	545
59024	Auberchicourt	4663
59025	Aubers	1752
59026	Aubigny-au-Bac	1175
59027	Aubry-du-Hainaut	1742
59028	Auby	7222
59029	Auchy-lez-Orchies	1506
59031	Audignies	375
59032	Aulnoy-lez-Valenciennes	7252
59033	Aulnoye-Aymeries	8994
59034	Avelin	2642
59035	Avesnelles	2326
59036	Avesnes-sur-Helpe	4254
59037	Avesnes-les-Aubert	3647
59038	Avesnes-le-Sec	1465
59039	Awoingt	814
59041	Bachant	2274
59042	Bachy	1915
59043	Bailleul	15098
59044	Baisieux	5224
59045	Baives	168
59046	Bambecque	834
59047	Banteux	354
59048	Bantigny	515
59049	Bantouzelle	447
59050	Bas-Lieu	347
59051	La Bassée	6660
59052	Bauvin	5042
59053	Bavay	3306
59054	Bavinchove	1054
59055	Bazuel	546
59056	Beaucamps-Ligny	867
59057	Beaudignies	572
59058	Beaufort	1037
59059	Beaumont-en-Cambrésis	459
59060	Beaurain	239
59061	Beaurepaire-sur-Sambre	277
59062	Beaurieux	171
59063	Beauvois-en-Cambrésis	1976
59064	Bellaing	1341
59065	Bellignies	827
59066	Bérelles	167
59067	Bergues	3601
59068	Berlaimont	3216
59069	Bermerain	775
59070	Bermeries	381
59071	Bersée	2345
59072	Bersillies	252
59073	Berthen	607
59074	Bertry	2173
59075	Béthencourt	721
59076	Bettignies	314
59077	Bettrechies	264
59078	Beugnies	617
59079	Beuvrages	6818
59080	Beuvry-la-Forêt	2875
59081	Bévillers	561
59082	Bierne	1798
59083	Bissezeele	257
59084	Blaringhem	2073
59085	Blécourt	312
59086	Boeschepe	2209
59087	Boëseghem	754
59088	Bois-Grenier	1817
59089	Bollezeele	1453
59090	Bondues	9896
59091	Borre	591
59092	Bouchain	4025
59093	Boulogne-sur-Helpe	316
59094	Bourbourg	7072
59096	Bourghelles	1713
59097	Boursies	394
59098	Bousbecque	4902
59099	Bousies	1798
59100	Bousignies	361
59101	Bousignies-sur-Roc	387
59102	Boussières-en-Cambrésis	450
59103	Boussières-sur-Sambre	521
59104	Boussois	3181
59105	Bouvignies	1581
59106	Bouvines	769
59107	Bray-Dunes	4446
59108	Briastre	720
59109	Brillon	782
59110	Brouckerque	1468
59111	Broxeele	408
59112	Bruay-sur-l'Escaut	11363
59113	Bruille-lez-Marchiennes	1356
59114	Bruille-Saint-Amand	1698
59115	Brunémont	718
59116	Bry	419
59117	Bugnicourt	1086
59118	Busigny	2460
59119	Buysscheure	596
59120	Caëstre	2044
59121	Cagnoncles	652
59122	Cambrai	31972
59123	Camphin-en-Carembault	1730
59124	Camphin-en-Pévèle	2571
59125	Cantaing-sur-Escaut	416
59126	Cantin	1784
59127	Capelle	142
59128	Capinghem	2506
59129	Cappelle-en-Pévèle	2308
59130	Cappelle-Brouck	1177
59131	Cappelle-la-Grande	7975
59132	Carnières	1010
59133	Carnin	1090
59134	Cartignies	1269
59135	Cassel	2327
59136	Le Cateau-Cambrésis	7057
59137	Catillon-sur-Sambre	796
59138	Cattenières	693
59139	Caudry	14220
59140	Caullery	469
59141	Cauroir	582
59142	Cerfontaine	698
59143	La Chapelle-d'Armentières	8788
59144	Château-l'Abbaye	869
59145	Chemy	792
59146	Chéreng	3043
59147	Choisies	48
59148	Clairfayts	364
59149	Clary	1098
59150	Cobrieux	551
59151	Colleret	1595
59152	Comines	12751
59153	Condé-sur-l'Escaut	9452
59155	Coudekerque-Branche	21012
59156	Courchelettes	2917
59157	Cousolre	2188
59158	Coutiches	3285
59159	Craywick	756
59160	Crespin	4547
59161	Crèvecœur-sur-l'Escaut	760
59162	Crochte	677
59163	Croix	21016
59164	Croix-Caluyau	247
59165	Cuincy	6546
59166	Curgies	1382
59167	Cuvillers	200
59168	Cysoing	4787
59169	Damousies	211
59170	Dechy	5384
59171	Dehéries	41
59172	Denain	20758
59173	Deûlémont	1844
59174	Dimechaux	340
59175	Dimont	314
59176	Doignies	323
59177	Dompierre-sur-Helpe	873
59178	Douai	40474
59179	Douchy-les-Mines	10252
59180	Le Doulieu	1477
59181	Dourlers	545
59182	Drincham	282
59183	Dunkerque	88024
59184	Ebblinghem	668
59185	Écaillon	1924
