code	city	list	nuance	n
59001	Abancourt	LA FRANCE REVIENT ! AVEC JORDAN BARDELLA ET MARINE LE PEN	LRN	107
59001	Abancourt	BESOIN D'EUROPE	LENS	25
59001	Abancourt	LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE	LLR	15
59001	Abancourt	LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR	LREC	15
59001	Abancourt	RÉVEILLER L'EUROPE	LUG	13
59001	Abancourt	GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL	LCOM	9
59001	Abancourt	LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D'ACHAT ET POUR LA PAIX	LDIV	8
59001	Abancourt	LA FRANCE INSOUMISE - UNION POPULAIRE	LFI	8
59001	Abancourt	ÉCOLOGIE AU CENTRE	LECO	3
59001	Abancourt	LUTTE OUVRIERE - LE CAMP DES TRAVAILLEURS	LEXG	3
59001	Abancourt	PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI	LDIV	3
59001	Abancourt	ALLIANCE RURALE	LDVD	2
59001	Abancourt	ECOLOGIE POSITIVE ET TERRITOIRES	LECO	2
59001	Abancourt	EUROPE ÉCOLOGIE	LVEC	2
59001	Abancourt	EUROPE TERRITOIRES ÉCOLOGIE	LDVG	1
59001	Abancourt	L'EUROPE CA SUFFIT !	LEXD	1
59001	Abancourt	LIBERTÉ DÉMOCRATIQUE FRANÇAISE	LDIV	0
59001	Abancourt	ESPERANTO LANGUE COMMUNE	LDIV	0
59001	Abancourt	DEMOCRATIE REPRESENTATIVE	LDIV	0
59001	Abancourt	DEFENDRE LES ENFANTS	LDIV	0
59001	Abancourt	LA RUCHE CITOYENNE	LDIV	0
59001	Abancourt	FRANCE LIBRE	LDIV	0
59001	Abancourt	NON À L'UE ET À L'OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRÈS SOCIAL	LEXG	0
59001	Abancourt	FORTERESSE EUROPE - LISTE D'UNITE NATIONALISTE	LEXD	0
59001	Abancourt	NON ! PRENONS-NOUS EN MAINS	LDIV	0
59001	Abancourt	""POUR LE PAIN, LA PAIX, LA LIBERTÉ !"" PRÉSENTÉE PAR LE PARTI DES TRAVAILLEURS	LEXG	0
59001	Abancourt	POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION !	LEXG	0
59001	Abancourt	NOUS LE PEUPLE	LDIV	0
59001	Abancourt	CHANGER L'EUROPE	LDVG	0
59001	Abancourt	POUR UNE AUTRE EUROPE	LDIV	0
59001	Abancourt	PAIX ET DECROISSANCE	LEXG	0
59001	Abancourt	ÉQUINOXE : ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE	LECO	0
59001	Abancourt	PACE - PARTI DES CITOYENS EUROPÉENS, POUR L'ARMÉE EUROPÉENNE, POUR L'EUROPE SOCIALE , POUR LA PLANÈTE !	LDIV	0
59001	Abancourt	PARTI PIRATE	LDIV	0
59001	Abancourt	PARTI REVOLUTIONNAIRE COMMUNISTES	LEXG	0
59001	Abancourt	FREE PALESTINE	LDIV	0
59001	Abancourt	POUR UNE DEMOCRATIE REELLE : DECIDONS NOUS-MEMES !	LDIV	0
59001	Abancourt	POUR UNE HUMANITE SOUVERAINE	LDIV	0
59002	Abscon	LA FRANCE REVIENT ! AVEC JORDAN BARDELLA ET MARINE LE PEN	LRN	921
59002	Abscon	BESOIN D'EUROPE	LENS	98
59002	Abscon	GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL	LCOM	76
59002	Abscon	RÉVEILLER L'EUROPE	LUG	70
59002	Abscon	LA FRANCE INSOUMISE - UNION POPULAIRE	LFI	69
59002	Abscon	PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI	LDIV	48
59002	Abscon	LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR	LREC	48
59002	Abscon	LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE	LLR	46
59002	Abscon	EUROPE ÉCOLOGIE	LVEC	16
59002	Abscon	ALLIANCE RURALE	LDVD	15
59002	Abscon	LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D'ACHAT ET POUR LA PAIX	LDIV	13
59002	Abscon	ÉCOLOGIE AU CENTRE	LECO	12
59002	Abscon	LUTTE OUVRIERE - LE CAMP DES TRAVAILLEURS	LEXG	9
59002	Abscon	L'EUROPE CA SUFFIT !	LEXD	8
59002	Abscon	EUROPE TERRITOIRES ÉCOLOGIE	LDVG	5
59002	Abscon	CHANGER L'EUROPE	LDVG	2
59002	Abscon	ECOLOGIE POSITIVE ET TERRITOIRES	LECO	2
59002	Abscon	ÉQUINOXE : ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE	LECO	2
59002	Abscon	DEFENDRE LES ENFANTS	LDIV	1
59002	Abscon	POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION !	LEXG	1
59002	Abscon	NOUS LE PEUPLE	LDIV	1
59002	Abscon	PARTI PIRATE	LDIV	1
59002	Abscon	LIBERTÉ DÉMOCRATIQUE FRANÇAISE	LDIV	0
59002	Abscon	ESPERANTO LANGUE COMMUNE	LDIV	0
59002	Abscon	DEMOCRATIE REPRESENTATIVE	LDIV	0
59002	Abscon	LA RUCHE CITOYENNE	LDIV	0
59002	Abscon	FRANCE LIBRE	LDIV	0
59002	Abscon	NON À L'UE ET À L'OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRÈS SOCIAL	LEXG	0
59002	Abscon	FORTERESSE EUROPE - LISTE D'UNITE NATIONALISTE	LEXD	0
59002	Abscon	NON ! PRENONS-NOUS EN MAINS	LDIV	0
59002	Abscon	""POUR LE PAIN, LA PAIX, LA LIBERTÉ !"" PRÉSENTÉE PAR LE PARTI DES TRAVAILLEURS	LEXG	0
59002	Abscon	POUR UNE AUTRE EUROPE	LDIV	0
59002	Abscon	PAIX ET DECROISSANCE	LEXG	0
59002	Abscon	PACE - PARTI DES CITOYENS EUROPÉENS, POUR L'ARMÉE EUROPÉENNE, POUR L'EUROPE SOCIALE , POUR LA PLANÈTE !	LDIV	0
59002	Abscon	PARTI REVOLUTIONNAIRE COMMUNISTES	LEXG	0
59002	Abscon	FREE PALESTINE	LDIV	0
59002	Abscon	POUR UNE DEMOCRATIE REELLE : DECIDONS NOUS-MEMES !	LDIV	0
59002	Abscon	POUR UNE HUMANITE SOUVERAINE	LDIV	0
59003	Aibes	LA FRANCE REVIENT ! AVEC JORDAN BARDELLA ET MARINE LE PEN	LRN	68
59003	Aibes	BESOIN D'EUROPE	LENS	13
59003	Aibes	LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE	LLR	10
59003	Aibes	LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR	LREC	8
59003	Aibes	PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI	LDIV	6
59003	Aibes	ALLIANCE RURALE	LDVD	5
59003	Aibes	RÉVEILLER L'EUROPE	LUG	5
59003	Aibes	EUROPE ÉCOLOGIE	LVEC	5
59003	Aibes	LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D'ACHAT ET POUR LA PAIX	LDIV	3
59003	Aibes	ÉCOLOGIE AU CENTRE	LECO	2
59003	Aibes	LA FRANCE INSOUMISE - UNION POPULAIRE	LFI	2
59003	Aibes	L'EUROPE CA SUFFIT !	LEXD	1
59003	Aibes	LUTTE OUVRIERE - LE CAMP DES TRAVAILLEURS	LEXG	1
59003	Aibes	ECOLOGIE POSITIVE ET TERRITOIRES	LECO	1
59003	Aibes	LIBERTÉ DÉMOCRATIQUE FRANÇAISE	LDIV	0
59003	Aibes	ESPERANTO LANGUE COMMUNE	LDIV	0
59003	Aibes	DEMOCRATIE REPRESENTATIVE	LDIV	0
59003	Aibes	DEFENDRE LES ENFANTS	LDIV	0
59003	Aibes	GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL	LCOM	0
59003	Aibes	LA RUCHE CITOYENNE	LDIV	0
59003	Aibes	EUROPE TERRITOIRES ÉCOLOGIE	LDVG	0
59003	Aibes	FRANCE LIBRE	LDIV	0
59003	Aibes	NON À L'UE ET À L'OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRÈS SOCIAL	LEXG	0
59003	Aibes	FORTERESSE EUROPE - LISTE D'UNITE NATIONALISTE	LEXD	0
59003	Aibes	NON ! PRENONS-NOUS EN MAINS	LDIV	0
59003	Aibes	""POUR LE PAIN, LA PAIX, LA LIBERTÉ !"" PRÉSENTÉE PAR LE PARTI DES TRAVAILLEURS	LEXG	0
59003	Aibes	POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION !	LEXG	0
59003	Aibes	NOUS LE PEUPLE	LDIV	0
59003	Aibes	CHANGER L'EUROPE	LDVG	0
59003	Aibes	POUR UNE AUTRE EUROPE	LDIV	0
59003	Aibes	PAIX ET DECROISSANCE	LEXG	0
59003	Aibes	ÉQUINOXE : ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE	LECO	0
59003	Aibes	PACE - PARTI DES CITOYENS EUROPÉENS, POUR L'ARMÉE EUROPÉENNE, POUR L'EUROPE SOCIALE , POUR LA PLANÈTE !	LDIV	0
59003	Aibes	PARTI PIRATE	LDIV	0
59003	Aibes	PARTI REVOLUTIONNAIRE COMMUNISTES	LEXG	0
59003	Aibes	FREE PALESTINE	LDIV	0
59003	Aibes	POUR UNE DEMOCRATIE REELLE : DECIDONS NOUS-MEMES !	LDIV	0
59003	Aibes	POUR UNE HUMANITE SOUVERAINE	LDIV	0
59004	Aix-en-Pévèle	LA FRANCE REVIENT ! AVEC JORDAN BARDELLA ET MARINE LE PEN	LRN	187
59004	Aix-en-Pévèle	BESOIN D'EUROPE	LENS	127
59004	Aix-en-Pévèle	LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE	LLR	81
59004	Aix-en-Pévèle	RÉVEILLER L'EUROPE	LUG	46
59004	Aix-en-Pévèle	EUROPE ÉCOLOGIE	LVEC	35
59004	Aix-en-Pévèle	LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR	LREC	35
59004	Aix-en-Pévèle	ALLIANCE RURALE	LDVD	24
59004	Aix-en-Pévèle	LA FRANCE INSOUMISE - UNION POPULAIRE	LFI	19
59004	Aix-en-Pévèle	GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL	LCOM	18
59004	Aix-en-Pévèle	PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI	LDIV	18
59004	Aix-en-Pévèle	ÉCOLOGIE AU CENTRE	LECO	10
59004	Aix-en-Pévèle	L'EUROPE CA SUFFIT !	LEXD	6
59004	Aix-en-Pévèle	LUTTE OUVRIERE - LE CAMP DES TRAVAILLEURS	LEXG	3
