city	code	ins	abs
Abancourt	59001	354	131
Abscon	59002	2966	1472
Aibes	59003	255	123
Aix-en-Pévèle	59004	957	324
Allennes-les-Marais	59005	2989	1408
Amfroipret	59006	186	76
Anhiers	59007	649	283
Aniche	59008	6825	3937
Anneux	59010	180	81
Annoeullin	59011	7662	3837
Anor	59012	2353	1351
Anstaing	59013	1293	518
Anzin	59014	8712	5095
Arleux	59015	2460	1120
Armbouts-Cappel	59016	1864	826
Armentières	59017	17832	9979
Arnèke	59018	1143	491
Artres	59019	744	318
Assevent	59021	1227	549
Attiches	59022	1903	798
Aubencheul-au-Bac	59023	394	165
Auberchicourt	59024	3241	1479
Aubers	59025	1521	596
Aubigny-au-Bac	59026	889	369
Aubry-du-Hainaut	59027	1290	516
Auby	59028	4924	2468
Auchy-lez-Orchies	59029	1136	461
Audignies	59031	293	139
Aulnoy-lez-Valenciennes	59032	4577	2353
Aulnoye-Aymeries	59033	6685	3835
Avelin	59034	2168	793
Avesnelles	59035	1891	1057
Avesnes-le-Sec	59038	1117	480
Avesnes-les-Aubert	59037	2732	1400
Avesnes-sur-Helpe	59036	2863	1717
Awoingt	59039	656	267
Bachant	59041	1691	846
Bachy	59042	1391	521
Bailleul	59043	10828	4955
Baisieux	59044	4137	1786
Baives	59045	105	64
Bambecque	59046	594	249
Banteux	59047	279	123
Bantigny	59048	370	136
Bantouzelle	59049	326	178
Bas-Lieu	59050	244	87
Bauvin	59052	4187	2018
Bavay	59053	2344	1180
Bavinchove	59054	816	422
Bazuel	59055	423	215
Beaucamps-Ligny	59056	774	279
Beaudignies	59057	451	181
Beaufort	59058	747	370
Beaumont-en-Cambrésis	59059	348	149
Beaurain	59060	188	81
Beaurepaire-sur-Sambre	59061	182	96
Beaurieux	59062	112	42
Beauvois-en-Cambrésis	59063	1558	863
Bellaing	59064	959	419
Bellignies	59065	651	318
Bérelles	59066	127	47
Bergues	59067	2692	1306
Berlaimont	59068	2322	1277
Bermerain	59069	583	245
Bermeries	59070	265	125
Bersée	59071	1977	827
Bersillies	59072	182	80
Berthen	59073	505	190
Bertry	59074	1701	895
Béthencourt	59075	557	254
Bettignies	59076	225	92
Bettrechies	59077	191	75
Beugnies	59078	435	203
Beuvrages	59079	4581	2434
Beuvry-la-Forêt	59080	2329	962
Bévillers	59081	448	201
Bierne	59082	1478	607
Bissezeele	59083	209	73
Blaringhem	59084	1630	746
Blécourt	59085	294	99
Boeschepe	59086	1705	720
Boëseghem	59087	617	294
Bois-Grenier	59088	1447	602
Bollezeele	59089	1002	427
Bondues	59090	8540	3502
Borre	59091	471	168
Bouchain	59092	3109	1478
Boulogne-sur-Helpe	59093	220	80
Bourbourg	59094	4982	2521
Bourghelles	59096	1348	528
Boursies	59097	271	97
Bousbecque	59098	3978	1959
Bousies	59099	1258	579
Bousignies	59100	289	122
Bousignies-sur-Roc	59101	252	113
Boussières-en-Cambrésis	59102	337	148
Boussières-sur-Sambre	59103	391	172
Boussois	59104	2023	947
Bouvignies	59105	1155	425
Bouvines	59106	642	211
Bray-Dunes	59107	3877	1987
Briastre	59108	489	195
Brillon	59109	645	273
