code	maj	maj4
59001	NA	Other
59002	DVG	Left
59003	NA	Other
59004	NA	Other
59005	NA	Other
59006	NA	Other
59007	NA	Other
59008	DVG	Left
59009	DVG	Left
59010	NA	Other
59011	SOC	Left
59012	NA	Other
59013	NA	Other
59014	DVG	Left
59015	NA	Other
59016	NA	Other
59017	UG	Left
59018	NA	Other
59019	NA	Other
59021	NA	Other
59022	NA	Other
59023	NA	Other
59024	SOC	Left
59025	NA	Other
59026	NA	Other
59027	NA	Other
59028	DVG	Left
59029	NA	Other
59031	NA	Other
59032	DVG	Left
59033	COM	Left
59034	NA	Other
59035	NA	Other
59036	DVC	Centre
59037	DVG	Left
59038	NA	Other
59039	NA	Other
59041	NA	Other
59042	NA	Other
59043	DIV	Other
59044	DVC	Centre
59045	NA	Other
59046	NA	Other
59047	NA	Other
59048	NA	Other
59049	NA	Other
59050	NA	Other
59051	DVD	Right
59052	DVG	Left
59053	NA	Other
59054	NA	Other
59055	NA	Other
59056	NA	Other
59057	NA	Other
59058	NA	Other
59059	NA	Other
59060	NA	Other
59061	NA	Other
59062	NA	Other
59063	NA	Other
59064	NA	Other
59065	NA	Other
59066	NA	Other
59067	DIV	Other
59068	NA	Other
59069	NA	Other
59070	NA	Other
59071	NA	Other
59072	NA	Other
59073	NA	Other
59074	NA	Other
59075	NA	Other
59076	NA	Other
59077	NA	Other
59078	NA	Other
59079	DVG	Left
59080	NA	Other
59081	NA	Other
59082	NA	Other
59083	NA	Other
59084	NA	Other
59085	NA	Other
59086	NA	Other
59087	NA	Other
59088	NA	Other
59089	NA	Other
59090	DVD	Right
59091	NA	Other
59092	DVG	Left
59093	NA	Other
59094	DIV	Other
59096	NA	Other
59097	NA	Other
59098	DVD	Right
59099	NA	Other
59100	NA	Other
59101	NA	Other
59102	NA	Other
59103	NA	Other
59104	NA	Other
59105	NA	Other
59106	NA	Other
59107	DVD	Right
59108	NA	Other
59109	NA	Other
59110	NA	Other
59111	NA	Other
59112	DIV	Other
59113	NA	Other
59114	NA	Other
59115	NA	Other
59116	NA	Other
59117	NA	Other
59118	NA	Other
59119	NA	Other
59120	NA	Other
59121	NA	Other
59122	DVD	Right
59123	NA	Other
59124	NA	Other
59125	NA	Other
59126	NA	Other
59127	NA	Other
59128	NA	Other
59129	NA	Other
59130	NA	Other
59131	DVG	Left
59132	NA	Other
59133	NA	Other
59134	NA	Other
59135	NA	Other
59136	DVC	Centre
59137	NA	Other
59138	NA	Other
59139	DVD	Right
59140	NA	Other
59141	NA	Other
59142	NA	Other
59143	DVD	Right
59144	NA	Other
59145	NA	Other
59146	NA	Other
59147	NA	Other
59148	NA	Other
59149	NA	Other
59150	NA	Other
59151	NA	Other
59152	DVC	Centre
59153	UDI	Centre
59155	DVG	Left
59156	NA	Other
59157	NA	Other
59158	NA	Other
59159	NA	Other
59160	DVD	Right
59161	NA	Other
59162	NA	Other
59163	DVD	Right
59164	NA	Other
59165	DVG	Left
59166	NA	Other
59167	NA	Other
59168	DVD	Right
59169	NA	Other
59170	SOC	Left
59171	NA	Other
59172	UG	Left
59173	NA	Other
59174	NA	Other
59175	NA	Other
59176	NA	Other
59177	NA	Other
59178	UG	Left
59179	COM	Left
59180	NA	Other
59181	NA	Other
59182	NA	Other
59183	DVG	Left
59184	NA	Other
59185	NA	Other
59186	NA	Other
59187	NA	Other
59188	NA	Other
59189	NA	Other
59190	NA	Other
59191	NA	Other
59192	NA	Other
59193	NA	Other
59194	NA	Other
59195	NA	Other
59196	NA	Other
59197	NA	Other
59198	NA	Other
59199	NA	Other
59200	NA	Other
59201	NA	Other
59202	DVD	Right
59203	NA	Other
59204	NA	Other
59205	COM	Left
59206	NA	Other
59207	COM	Left
59208	NA	Other
59209	NA	Other
59210	NA	Other
59211	NA	Other
59212	UDI	Centre
59213	NA	Other
59214	NA	Other
59215	NA	Other
59216	NA	Other
59217	NA	Other
59218	NA	Other
59219	NA	Other
59220	UG	Left
59221	NA	Other
59222	NA	Other
59223	NA	Other
59224	NA	Other
59225	DVG	Left
59226	NA	Other
59227	DVG	Left
59228	NA	Other
59229	NA	Other
59230	SOC	Left
59231	NA	Other
59232	NA	Other
59233	NA	Other
59234	DVD	Right
59236	NA	Other
59237	NA	Other
59238	NA	Other
59239	DVG	Left
59240	NA	Other
59241	NA	Other
59242	NA	Other
59243	NA	Other
59244	NA	Other
59246	NA	Other
59247	NA	Other
59249	DVD	Right
59250	NA	Other
59251	NA	Other
59252	NA	Other
59253	DVG	Left
59254	NA	Other
59255	NA	Other
59256	NA	Other
59257	NA	Other
59258	NA	Other
59259	NA	Other
59260	DIV	Other
59261	NA	Other
59262	NA	Other
59263	NA	Other
59264	NA	Other
59265	NA	Other
59266	DVC	Centre
59267	NA	Other
59268	DIV	Other
59269	NA	Other
59270	NA	Other
59271	UG	Left
59272	DIV	Other
59273	SOC	Left
59274	NA	Other
59275	NA	Other
59276	DVG	Left
59277	NA	Other
59278	DVD	Right
59279	DVC	Centre
59280	NA	Other
59281	NA	Other
59282	NA	Other
59283	NA	Other
59284	DVG	Left
59285	NA	Other
59286	DVD	Right
59287	NA	Other
59288	NA	Other
59289	NA	Other
59290	NA	Other
59291	DVD	Right
59292	NA	Other
59293	NA	Other
59294	NA	Other
59295	DVD	Right
59296	NA	Other
59297	NA	Other
59299	UDI	Centre
59300	NA	Other
59301	LR	Right
59302	DVG	Left
59303	NA	Other
59304	NA	Other
59305	NA	Other
59306	NA	Other
59307	NA	Other
59308	NA	Other
59309	DVD	Right
59310	NA	Other
59311	NA	Other
59312	NA	Other
59313	NA	Other
59314	SOC	Left
59315	NA	Other
59316	NA	Other
59317	DVD	Right
59318	NA	Other
59319	NA	Other
59320	NA	Other
59321	NA	Other
59322	NA	Other
59323	NA	Other
59324	UG	Left
59325	NA	Other
59326	NA	Other
59327	DIV	Other
59328	DVC	Centre
59329	DVD	Right
59330	NA	Other
59331	NA	Other
59332	NA	Other
59333	NA	Other
59334	NA	Other
59335	NA	Other
59336	NA	Other
59337	NA	Other
59338	NA	Other
59339	DVD	Right
59340	DVC	Centre
59341	NA	Other
59342	NA	Other
59343	DVD	Right
59344	NA	Other
59345	NA	Other
59346	NA	Other
59347	NA	Other
59348	NA	Other
59349	NA	Other
59350	UG	Left
59351	NA	Other
59352	DVD	Right
59353	NA	Other
59354	NA	Other
59356	NA	Other
59357	NA	Other
59358	NA	Other
59359	DIV	Other
59360	DVC	Centre
59361	UG	Left
59363	NA	Other
59364	NA	Other
59365	UG	Left
59366	NA	Other
59367	DVD	Right
59368	DVD	Right
59369	DVD	Right
59370	NA	Other
59371	NA	Other
59372	NA	Other
59374	NA	Other
59375	DVD	Right
59377	NA	Other
59378	DVD	Right
59379	NA	Other
59381	NA	Other
59382	NA	Other
59383	DVD	Right
59384	NA	Other
59385	NA	Other
59386	DVD	Right
59387	NA	Other
59388	NA	Other
59389	NA	Other
59390	DVG	Left
59391	NA	Other
59392	DVD	Right
59393	NA	Other
59394	NA	Other
59395	NA	Other
59396	NA	Other
59397	NA	Other
59398	NA	Other
59399	NA	Other
59400	DVD	Right
59401	NA	Other
59402	NA	Other
59403	NA	Other
59405	NA	Other
59406	NA	Other
59407	NA	Other
59408	NA	Other
59409	NA	Other
59410	DVG	Left
59411	NA	Other
59412	NA	Other
59413	NA	Other
59414	DVG	Left
59415	NA	Other
59416	NA	Other
59418	NA	Other
59419	NA	Other
59420	NA	Other
59421	UD	Right
59422	NA	Other
59423	NA	Other
59424	NA	Other
59425	NA	Other
59426	DVD	Right
59427	NA	Other
59428	DVD	Right
59429	NA	Other
59430	NA	Other
59431	DVD	Right
59432	NA	Other
59433	NA	Other
59434	NA	Other
59435	NA	Other
59436	NA	Other
59437	NA	Other
59438	NA	Other
59439	NA	Other
59440	NA	Other
59441	NA	Other
59442	NA	Other
59443	NA	Other
59444	NA	Other
59445	NA	Other
59446	NA	Other
59447	DVG	Left
59448	NA	Other
59449	DVG	Left
59450	NA	Other
59451	NA	Other
59452	DVG	Left
59453	NA	Other
59454	NA	Other
59455	NA	Other
59456	DVG	Left
59457	DVC	Centre
59458	NA	Other
59459	DVG	Left
59461	NA	Other
59462	DVD	Right
59463	NA	Other
59464	NA	Other
59465	NA	Other
59466	NA	Other
59467	NA	Other
59468	NA	Other
59469	NA	Other
59470	NA	Other
59471	NA	Other
59472	NA	Other
59473	NA	Other
59474	NA	Other
59475	NA	Other
59476	NA	Other
59477	DVD	Right
59478	NA	Other
59479	NA	Other
59480	NA	Other
59481	DVD	Right
59482	DVG	Left
59483	NA	Other
59484	DIV	Other
59485	NA	Other
59486	NA	Other
59487	NA	Other
59488	NA	Other
59489	DVD	Right
59490	NA	Other
59491	COM	Left
59492	NA	Other
59493	NA	Other
59494	NA	Other
59495	NA	Other
59496	NA	Other
59497	NA	Other
59498	NA	Other
59499	NA	Other
59500	NA	Other
59501	NA	Other
59502	NA	Other
59503	NA	Other
59504	COM	Left
59505	NA	Other
59506	NA	Other
59507	SOC	Left
59508	DVD	Right
59509	DVG	Left
59511	NA	Other
59512	UC	Centre
59513	NA	Other
59514	DVG	Left
59515	NA	Other
59516	NA	Other
59517	NA	Other
59518	NA	Other
59519	NA	Other
59520	NA	Other
59521	NA	Other
59522	NA	Other
59523	NA	Other
59524	DVD	Right
59525	NA	Other
59526	COM	Left
59527	DVC	Centre
59528	NA	Other
59529	NA	Other
59530	NA	Other
59531	NA	Other
59532	NA	Other
59533	NA	Other
59534	NA	Other
59535	NA	Other
59536	NA	Other
59537	NA	Other
59538	NA	Other
59539	NA	Other
59541	NA	Other
59542	NA	Other
59543	NA	Other
59544	LR	Right
59545	NA	Other
59546	NA	Other
59547	NA	Other
59548	NA	Other
59549	NA	Other
59550	NA	Other
59551	NA	Other
59552	NA	Other
59553	DVC	Centre
59554	NA	Other
59555	NA	Other
59556	NA	Other
59557	NA	Other
59558	NA	Other
59559	NA	Other
59560	DVC	Centre
59562	NA	Other
59563	NA	Other
59564	NA	Other
59565	NA	Other
59566	DVC	Centre
59567	NA	Other
59568	NA	Other
59569	DIV	Other
59570	NA	Other
59571	DVD	Right
59572	NA	Other
59573	NA	Other
59574	UG	Left
59575	NA	Other
59576	NA	Other
59577	NA	Other
59578	NA	Other
59579	NA	Other
59580	DVD	Right
59581	DVC	Centre
59582	NA	Other
59583	NA	Other
59584	NA	Other
59585	NA	Other
59586	DVD	Right
59587	NA	Other
59588	DVD	Right
59589	NA	Other
59590	NA	Other
59591	NA	Other
59592	DVD	Right
59593	NA	Other
59594	NA	Other
59595	NA	Other
59596	NA	Other
59597	NA	Other
59598	DVG	Left
59599	UC	Centre
59600	NA	Other
59601	NA	Other
59602	NA	Other
59603	COM	Left
59604	NA	Other
59605	NA	Other
59606	DVD	Right
59607	NA	Other
59608	NA	Other
59609	NA	Other
59610	NA	Other
59611	NA	Other
59612	NA	Other
59613	NA	Other
59614	NA	Other
59615	NA	Other
59616	DVG	Left
59617	NA	Other
59618	NA	Other
59619	NA	Other
59620	NA	Other
59622	NA	Other
59623	NA	Other
59624	NA	Other
59625	NA	Other
59626	NA	Other
59627	NA	Other
59628	NA	Other
59629	NA	Other
59630	NA	Other
59631	NA	Other
59632	UDI	Centre
59633	NA	Other
59634	NA	Other
59635	NA	Other
59636	DVD	Right
59637	NA	Other
59638	NA	Other
59639	NA	Other
59640	NA	Other
59641	NA	Other
59642	NA	Other
59643	NA	Other
59645	NA	Other
59646	DVD	Right
59647	NA	Other
59648	DVD	Right
59649	NA	Other
59650	DVG	Left
59651	NA	Other
59652	NA	Other
59653	DVD	Right
59654	DVG	Left
59655	NA	Other
59656	DVD	Right
59657	NA	Other
59658	NA	Other
59659	NA	Other
59660	NA	Other
59661	NA	Other
59662	NA	Other
59663	DVD	Right
59664	NA	Other
59665	NA	Other
59666	NA	Other
59667	NA	Other
59668	NA	Other
59669	NA	Other
59670	NA	Other
