city	code	ins	abs
Abancourt	59001	378	159
Amfroipret	59006	182	78
Aniche	59008	6759	3863
Arleux	59015	2422	907
Armentières	59017	17216	11783
Aubry-du-Hainaut	59027	1202	347
Avesnelles	59035	1895	762
Bailleul	59043	10969	5677
Bauvin	59052	4028	1912
Bérelles	59066	134	33
Berlaimont	59068	2352	1195
Bettrechies	59077	185	69
Beugnies	59078	463	194
Beuvry-la-Forêt	59080	2256	835
Bourbourg	59094	4871	2391
Bousignies	59100	273	76
Bray-Dunes	59107	4050	1778
Briastre	59108	509	302
Busigny	59118	1743	597
Capelle	59127	132	81
Carnières	59132	778	226
Catillon-sur-Sambre	59137	606	169
Comines	59152	9635	5616
Condé-sur-l'Escaut	59153	6115	3562
Craywick	59159	477	88
Croix	59163	13883	9830
Croix-Caluyau	59164	207	117
Dimont	59175	232	113
Douai	59178	26307	18041
Douchy-les-Mines	59179	7084	4365
Emerchicourt	59192	680	339
Eringhem	59200	359	106
Escarmain	59204	378	50
Escaudain	59205	6168	4103
Fenain	59227	4185	2426
Férin	59228	1142	410
Ferrière-la-Petite	59231	792	302
Forest-sur-Marque	59247	1220	496
Fresnes-sur-Escaut	59253	4915	2987
Fressies	59255	449	248
Grand-Fayt	59270	370	112
Halluin	59279	14909	9880
Hautmont	59291	9566	5792
Hazebrouck	59295	16632	9165
Houplin-Ancoisne	59316	2715	1237
La Longueville	59357	1563	736
La Sentinelle	59564	2093	921
Lambersart	59328	20697	13241
Lécluse	59336	967	251
Leffrinckoucke	59340	3563	1671
Lez-Fontaine	59342	163	78
Lille	59350	124439	84958
Locquignol	59353	254	173
Marcq-en-Ostrevent	59379	507	262
Maresches	59381	711	262
Maretz	59382	941	350
Marly	59383	8539	4312
Masny	59390	2829	1255
Maubeuge	59392	19038	11498
Merville	59400	7379	3969
Montrécourt	59415	204	39
Naves	59422	526	182
Nieppe	59431	6260	3981
Noordpeene	59436	616	431
Pérenchies	59457	6255	3701
Petite-Forêt	59459	3713	2024
Pradelles	59469	292	75
Preux-au-Sart	59473	230	145
Ribécourt-la-Tour	59500	305	118
Roubaix	59512	46910	36237
Rousies	59514	2951	1315
Rumilly-en-Cambrésis	59520	1114	366
Saint-André-lez-Lille	59527	8440	5442
Saint-Waast	59548	479	118
Santes	59553	4740	2061
Sebourg	59559	1597	724
Seclin	59560	8573	4203
Sémeries	59562	428	99
Somain	59574	8729	5623
Thiennes	59590	670	355
Trélon	59601	1929	959
Troisvilles	59604	568	259
Uxem	59605	1107	355
Vieux-Condé	59616	7829	4201
Villeneuve-d'Ascq	59009	39335	28316
Villers-Pol	59626	905	290
Wambrechies	59636	8302	5280
Wasnes-au-Bac	59645	495	152
Wasquehal	59646	15377	10195
Waziers	59654	4987	2301
Wignehies	59659	2092	979
Willies	59661	92	46
