city	code	candidate	n
Abancourt	59001	Le Pen	91
Abancourt	59001	Macron	85
Abancourt	59001	Mélenchon	37
Abancourt	59001	Zemmour	35
Abancourt	59001	Pécresse	18
Abancourt	59001	Roussel	9
Abancourt	59001	Lassalle	9
Abancourt	59001	Dupont-Aignan	9
Abancourt	59001	Jadot	7
Abancourt	59001	Hidalgo	5
Abancourt	59001	Poutou	2
Abancourt	59001	Arthaud	0
Abscon	59002	Le Pen	1019
Abscon	59002	Macron	374
Abscon	59002	Mélenchon	319
Abscon	59002	Zemmour	103
Abscon	59002	Roussel	90
Abscon	59002	Jadot	42
Abscon	59002	Pécresse	35
Abscon	59002	Dupont-Aignan	28
Abscon	59002	Lassalle	20
Abscon	59002	Poutou	18
Abscon	59002	Arthaud	15
Abscon	59002	Hidalgo	15
Aibes	59003	Le Pen	82
Aibes	59003	Macron	38
Aibes	59003	Mélenchon	26
Aibes	59003	Zemmour	19
Aibes	59003	Dupont-Aignan	14
Aibes	59003	Lassalle	7
Aibes	59003	Jadot	6
Aibes	59003	Pécresse	5
Aibes	59003	Hidalgo	3
Aibes	59003	Arthaud	0
Aibes	59003	Roussel	0
Aibes	59003	Poutou	0
Aix	59004	Macron	302
Aix	59004	Le Pen	199
Aix	59004	Mélenchon	94
Aix	59004	Pécresse	65
Aix	59004	Zemmour	51
Aix	59004	Jadot	27
Aix	59004	Roussel	20
Aix	59004	Lassalle	18
Aix	59004	Dupont-Aignan	14
Aix	59004	Hidalgo	4
Aix	59004	Poutou	3
Aix	59004	Arthaud	2
Allennes-les-Marais	59005	Le Pen	661
Allennes-les-Marais	59005	Macron	639
Allennes-les-Marais	59005	Mélenchon	351
Allennes-les-Marais	59005	Zemmour	147
Allennes-les-Marais	59005	Roussel	114
Allennes-les-Marais	59005	Jadot	98
Allennes-les-Marais	59005	Pécresse	67
Allennes-les-Marais	59005	Lassalle	53
Allennes-les-Marais	59005	Dupont-Aignan	46
Allennes-les-Marais	59005	Hidalgo	40
Allennes-les-Marais	59005	Arthaud	16
Allennes-les-Marais	59005	Poutou	14
Amfroipret	59006	Le Pen	54
Amfroipret	59006	Macron	37
Amfroipret	59006	Mélenchon	18
Amfroipret	59006	Lassalle	7
Amfroipret	59006	Zemmour	7
Amfroipret	59006	Pécresse	5
Amfroipret	59006	Roussel	2
Amfroipret	59006	Jadot	2
Amfroipret	59006	Dupont-Aignan	2
Amfroipret	59006	Arthaud	1
Amfroipret	59006	Hidalgo	1
Amfroipret	59006	Poutou	1
Anhiers	59007	Le Pen	233
Anhiers	59007	Mélenchon	84
Anhiers	59007	Macron	74
Anhiers	59007	Zemmour	34
Anhiers	59007	Roussel	27
Anhiers	59007	Pécresse	14
Anhiers	59007	Jadot	11
Anhiers	59007	Hidalgo	8
Anhiers	59007	Dupont-Aignan	7
Anhiers	59007	Lassalle	5
Anhiers	59007	Arthaud	4
Anhiers	59007	Poutou	0
Aniche	59008	Le Pen	2017
