city	code	ins	abs
Abancourt	59001	366	51
Abscon	59002	2948	794
Aibes	59003	248	53
Aix	59004	967	153
Allennes-les-Marais	59005	2964	652
Amfroipret	59006	193	49
Anhiers	59007	625	106
Aniche	59008	6807	2217
Anneux	59010	183	30
Annoeullin	59011	7576	1982
Anor	59012	2304	741
Anstaing	59013	1240	256
Anzin	59014	8594	3127
Arleux	59015	2387	490
Armbouts-Cappel	59016	1816	331
Armentières	59017	17399	6142
Arnèke	59018	1116	224
Artres	59019	747	159
Assevent	59021	1247	302
Attiches	59022	1895	388
Aubencheul-au-Bac	59023	417	81
Auberchicourt	59024	3249	894
Aubers	59025	1485	280
Aubigny-au-Bac	59026	884	173
Aubry-du-Hainaut	59027	1248	249
Auby	59028	4880	1408
Auchy-lez-Orchies	59029	1109	208
Audignies	59031	290	73
Aulnoy-lez-Valenciennes	59032	4592	1413
Aulnoye-Aymeries	59033	6591	2250
Avelin	59034	2206	365
Avesnelles	59035	1854	517
Avesnes-le-Sec	59038	1079	244
Avesnes-les-Aubert	59037	2706	734
Avesnes-sur-Helpe	59036	2903	1059
Awoingt	59039	652	122
Bachant	59041	1695	465
Bachy	59042	1342	190
Bailleul	59043	11026	2689
Baisieux	59044	4053	933
Baives	59045	100	39
Bambecque	59046	582	123
Banteux	59047	262	67
Bantigny	59048	384	70
Bantouzelle	59049	315	72
Bas-Lieu	59050	237	42
Bauvin	59052	4072	1016
Bavay	59053	2287	586
Bavinchove	59054	801	167
Bazuel	59055	421	116
Beaucamps-Ligny	59056	766	133
Beaudignies	59057	444	88
Beaufort	59058	765	163
Beaumont-en-Cambrésis	59059	353	70
Beaurain	59060	189	25
Beaurepaire-sur-Sambre	59061	169	36
Beaurieux	59062	103	15
Beauvois-en-Cambrésis	59063	1527	399
Bellaing	59064	983	208
Bellignies	59065	618	156
Bergues	59067	2883	849
Berlaimont	59068	2337	709
Bermerain	59069	595	113
Bermeries	59070	270	61
Bersillies	59072	178	28
Bersée	59071	1966	357
Berthen	59073	481	88
Bertry	59074	1687	483
Bettignies	59076	211	47
Bettrechies	59077	183	35
Beugnies	59078	453	107
Beuvrages	59079	4525	1460
Beuvry-la-Forêt	59080	2311	528
Bierne	59082	1457	282
Bissezeele	59083	205	37
Blaringhem	59084	1639	337
Blécourt	59085	292	47
Boeschepe	59086	1707	366
Bois-Grenier	59088	1430	265
Bollezeele	59089	991	162
Bondues	59090	8418	1714
Borre	59091	454	80
Bouchain	59092	3157	862
Boulogne-sur-Helpe	59093	226	40
Bourbourg	59094	4928	1302
Bourghelles	59096	1329	212
Boursies	59097	260	39
Bousbecque	59098	3851	1016
Bousies	59099	1258	311
Bousignies	59100	287	54
Bousignies-sur-Roc	59101	214	50
Boussières-en-Cambrésis	59102	329	76
Boussières-sur-Sambre	59103	379	87
Boussois	59104	2083	569
Bouvignies	59105	1272	258
Bouvines	59106	616	107
Boëseghem	59087	599	113
Bray-Dunes	59107	3879	1087
Briastre	59108	523	109
Brillon	59109	629	122
Brouckerque	59110	1174	229
Broxeele	59111	309	63
Bruay-sur-l'Escaut	59112	8241	2621
Bruille-Saint-Amand	59114	1274	328
Bruille-lez-Marchiennes	59113	898	138
Brunémont	59115	518	94
Bry	59116	311	62
Bugnicourt	59117	838	175
Busigny	59118	1780	413
Buysscheure	59119	453	90
Bérelles	59066	118	27
Béthencourt	59075	559	107
Bévillers	59081	452	106
Cagnoncles	59121	508	101
Cambrai	59122	22762	7812
Camphin-en-Carembault	59123	1378	261
Camphin-en-Pévèle	59124	1905	365
Cantaing-sur-Escaut	59125	311	69
Cantin	59126	1210	234
Capelle	59127	133	26
Capinghem	59128	1736	353
Cappelle-Brouck	59130	948	210
Cappelle-en-Pévèle	59129	1809	368
Cappelle-la-Grande	59131	6472	1691
Carnin	59133	833	99
Carnières	59132	760	130
Cartignies	59134	853	197
Cassel	59135	1707	388
Catillon-sur-Sambre	59137	591	125
Cattenières	59138	518	108
Caudry	59139	9717	3066
Caullery	59140	366	88
Cauroir	59141	461	101
Caëstre	59120	1509	295
Cerfontaine	59142	533	138
Chemy	59145	637	114
Choisies	59147	50	8
Château-l'Abbaye	59144	656	141
Chéreng	59146	2542	470
Clairfayts	59148	245	80
Clary	59149	836	175
Cobrieux	59150	458	64
Colleret	59151	1206	351
Comines	59152	9754	3110
Condé-sur-l'Escaut	59153	6025	2387
Coudekerque-Branche	59155	16018	4458
Courchelettes	59156	2126	494
Cousolre	59157	1446	423
Coutiches	59158	2447	415
Craywick	59159	486	58
Crespin	59160	2969	1017
Crochte	59162	544	107
Croix	59163	13942	3686
Croix-Caluyau	59164	220	58
Crèvecoeur-sur-l'Escaut	59161	562	130
Cuincy	59165	4993	1271
Curgies	59166	1048	215
Cuvillers	59167	150	25
Cysoing	59168	3960	862
Damousies	59169	162	31
Dechy	59170	3586	1138
Dehéries	59171	36	7
Denain	59172	11567	4436
Deûlémont	59173	1501	345
Dimechaux	59174	246	58
Dimont	59175	242	50
Doignies	59176	267	28
Dompierre-sur-Helpe	59177	655	178
Don	59670	1044	181
Douai	59178	26371	9564
Douchy-les-Mines	59179	6995	2206
Dourlers	59181	412	87
Drincham	59182	197	38
Dunkerque	59183	61478	18156
Ebblinghem	59184	511	124
Ecaillon	59185	1404	403
Eccles	59186	64	10
Eclaibes	59187	238	37
Ecuélin	59188	103	15
Eecke	59189	998	191
Elesmes	59190	738	126
Elincourt	59191	458	90
Emerchicourt	59192	669	149
Emmerin	59193	2457	594
Englefontaine	59194	1009	270
Englos	59195	480	90
Ennetières-en-Weppes	59196	1081	211
Ennevelin	59197	1891	305
Eppe-Sauvage	59198	149	55
Erchin	59199	569	105
Eringhem	59200	376	65
Erquinghem-Lys	59202	3956	915
Erquinghem-le-Sec	59201	452	53
Erre	59203	1144	235
Escarmain	59204	379	68
Escaudain	59205	6152	2130
Escaudoeuvres	59206	2326	637
Escautpont	59207	3201	1026
Escobecques	59208	255	22
Esnes	59209	501	107
Esquelbecq	59210	1699	328
Esquerchin	59211	625	109
Estaires	59212	5234	1321
Estourmel	59213	360	50
Estreux	59215	763	129
Estrun	59219	547	91
Estrées	59214	861	147
Eswars	59216	294	50
Eth	59217	266	49
Etroeungt	59218	975	269
Faches-Thumesnil	59220	12221	3508
Famars	59221	1792	474
Faumont	59222	1826	378
Feignies	59225	4556	1454
Felleries	59226	928	232
Fenain	59227	4140	1156
Ferrière-la-Grande	59230	3746	1102
Ferrière-la-Petite	59231	777	201
Flaumont-Waudrechies	59233	270	84
Flers-en-Escrebieux	59234	3601	967
Flesquières	59236	199	36
Flines-lez-Raches	59239	4467	1091
Flines-lès-Mortagne	59238	1235	372
Floursies	59240	107	16
Floyon	59241	378	129
Flêtre	59237	733	166
Fontaine-Notre-Dame	59244	1346	305
Fontaine-au-Bois	59242	521	67
Fontaine-au-Pire	59243	774	141
Forest-en-Cambrésis	59246	409	86
Forest-sur-Marque	59247	1273	259
Fourmies	59249	8523	2935
Fournes-en-Weppes	59250	1801	378
Frasnoy	59251	274	48
Frelinghien	59252	2040	397
Fresnes-sur-Escaut	59253	4690	1399
Fressain	59254	681	129
Fressies	59255	439	72
Fretin	59256	2491	480
Fromelles	59257	858	121
Féchain	59224	1251	348
Férin	59228	1148	200
Féron	59229	429	89
Genech	59258	1928	333
Ghissignies	59259	414	66
Ghyvelde	59260	3327	694
Glageon	59261	1103	306
Godewaersvelde	59262	1549	276
Goeulzin	59263	908	214
Gognies-Chaussée	59264	559	194
Gommegnies	59265	1777	400
Gondecourt	59266	3339	717
Gonnelieu	59267	230	53
Gouzeaucourt	59269	1132	302
Grand-Fayt	59270	374	87
Grand-Fort-Philippe	59272	4117	1142
Grande-Synthe	59271	14398	5580
Gravelines	59273	9082	2410
Gruson	59275	1052	148
Guesnain	59276	3379	833
Gussignies	59277	177	30
Hallennes-lez-Haubourdin	59278	3384	756
Halluin	59279	14988	4809
Hamel	59280	638	130
Hantay	59281	892	159
Hardifort	59282	327	63
Hargnies	59283	452	73
Hasnon	59284	3124	761
Haspres	59285	2045	550
Haubourdin	59286	9708	2840
Haucourt-en-Cambrésis	59287	157	18
Haulchin	59288	1670	374
Haussy	59289	1141	315
Haut-Lieu	59290	299	62
Hautmont	59291	9510	3850
Haveluy	59292	2258	648
Haverskerque	59293	1120	257
Haynecourt	59294	257	32
Hazebrouck	59295	16777	4559
Hecq	59296	302	72
Hem	59299	13898	4219
Hem-Lenglet	59300	416	78
Hergnies	59301	3336	977
Herlies	59303	1843	374
Herrin	59304	333	36
Herzeele	59305	1245	207
Hestrud	59306	187	56
Holque	59307	722	160
Hon-Hergies	59310	469	108
Hondeghem	59308	758	130
Hondschoote	59309	3033	878
Honnechy	59311	371	92
Honnecourt-sur-Escaut	59312	519	134
Hordain	59313	1135	235
Hornaing	59314	2807	754
Houdain-lez-Bavay	59315	657	163
Houplin-Ancoisne	59316	2692	560
Houplines	59317	5800	1786
Houtkerque	59318	707	141
Hoymille	59319	2747	596
Hélesmes	59297	1434	321
Hérin	59302	2910	772
Illies	59320	1135	194
Inchy	59321	521	141
Iwuy	59322	2445	561
Jenlain	59323	909	170
Jeumont	59324	6593	2690
Jolimetz	59325	724	136
Killem	59326	789	152
La Bassée	59051	4493	1245
La Chapelle-d'Armentières	59143	6270	1575
La Flamengrie	59232	317	58
La Gorgue	59268	4142	1021
La Groise	59274	341	81
La Longueville	59357	1580	401
La Madeleine	59368	15736	4364
La Neuville	59427	538	117
La Sentinelle	59564	2111	600
Lallaing	59327	4699	1315
Lambersart	59328	20491	5049
Lambres-lez-Douai	59329	3619	927
Landas	59330	2100	457
Landrecies	59331	2548	698
Lannoy	59332	1146	407
Larouillies	59333	189	42
Lauwin-Planque	59334	1336	264
Le Cateau-Cambrésis	59136	4328	1291
Le Doulieu	59180	1134	177
Le Favril	59223	377	83
Le Maisnil	59371	532	88
Le Quesnoy	59481	3578	1124
Lecelles	59335	2396	476
Lederzeele	59337	561	104
Ledringhem	59338	489	53
Leers	59339	8272	2409
Leffrinckoucke	59340	3617	888
Les Rues-des-Vignes	59517	593	131
Lesdain	59341	327	72
Lesquin	59343	6049	1280
Leval	59344	1811	519
Lewarde	59345	1779	492
Lez-Fontaine	59342	162	25
Lezennes	59346	2529	588
Liessies	59347	394	92
Lieu-Saint-Amand	59348	1146	244
Ligny-en-Cambrésis	59349	1328	282
Lille	59350	127360	42366
Limont-Fontaine	59351	470	99
Linselles	59352	6722	1663
Locquignol	59353	247	50
Loffre	59354	604	112
Lompret	59356	1778	282
Looberghe	59358	964	224
Loon-Plage	59359	4753	1156
Loos	59360	12756	4403
Lourches	59361	2298	846
Louvignies-Quesnoy	59363	687	131
Louvil	59364	662	76
Louvroil	59365	3623	1420
