city	code	votes_r1	votes_r2	le_pen_r2	macron_r2	le_pen_r1	macron_r1	melenchon_r1	zemmour_r1	pecresse_r1	roussel_r1	jadot_r1	lassalle_r1	dupont-aignan_r1	hidalgo_r1	poutou_r1	arthaud_r1
Abancourt	59001	307	299	0.53	0.47	0.3	0.28	0.12	0.11	0.06	0.03	0.02	0.03	0.03	0.02	0.01	0
Abscon	59002	2078	2028	0.71	0.29	0.49	0.18	0.15	0.05	0.02	0.04	0.02	0.01	0.01	0.01	0.01	0.01
Aibes	59003	200	188	0.65	0.35	0.41	0.19	0.13	0.1	0.03	0	0.03	0.04	0.07	0.01	0	0
Aix	59004	799	762	0.39	0.61	0.25	0.38	0.12	0.06	0.08	0.03	0.03	0.02	0.02	0.01	0	0
Allennes-les-Marais	59005	2246	2097	0.47	0.53	0.29	0.28	0.16	0.07	0.03	0.05	0.04	0.02	0.02	0.02	0.01	0.01
Amfroipret	59006	137	131	0.55	0.45	0.39	0.27	0.13	0.05	0.04	0.01	0.01	0.05	0.01	0.01	0.01	0.01
Anhiers	59007	501	479	0.7	0.3	0.47	0.15	0.17	0.07	0.03	0.05	0.02	0.01	0.01	0.02	0	0.01
Aniche	59008	4519	4273	0.7	0.3	0.45	0.15	0.21	0.04	0.02	0.07	0.01	0.01	0.02	0.01	0.01	0.01
Anneux	59010	148	138	0.5	0.5	0.41	0.33	0.13	0.02	0.03	0.03	0.01	0.03	0.01	0	0	0.01
Annoeullin	59011	5330	5143	0.49	0.51	0.32	0.29	0.16	0.06	0.03	0.03	0.04	0.02	0.02	0.02	0.01	0
Anor	59012	1515	1458	0.65	0.35	0.43	0.19	0.18	0.07	0.02	0.03	0.02	0.02	0.02	0.01	0.01	0
Anstaing	59013	968	879	0.31	0.69	0.2	0.35	0.2	0.03	0.04	0.05	0.05	0.02	0.02	0.02	0.01	0.01
Anzin	59014	5410	5125	0.63	0.37	0.4	0.16	0.23	0.05	0.01	0.09	0.02	0.01	0.01	0.01	0	0
Arleux	59015	1792	1781	0.67	0.33	0.45	0.2	0.12	0.06	0.03	0.06	0.02	0.01	0.02	0.01	0.01	0.01
Armbouts-Cappel	59016	1425	1382	0.56	0.44	0.36	0.27	0.16	0.05	0.03	0.03	0.03	0.02	0.02	0.01	0.01	0.01
Armentières	59017	11059	10328	0.49	0.51	0.29	0.23	0.25	0.06	0.02	0.04	0.03	0.02	0.02	0.03	0.01	0.01
Arnèke	59018	884	826	0.5	0.5	0.33	0.28	0.14	0.05	0.07	0.02	0.02	0.03	0.02	0.02	0.01	0.01
Artres	59019	574	540	0.5	0.5	0.31	0.3	0.13	0.07	0.02	0.06	0.05	0.03	0.02	0.01	0.01	0.01
Assevent	59021	941	856	0.61	0.39	0.42	0.21	0.18	0.05	0.02	0.03	0.01	0.02	0.02	0.01	0	0.01
Attiches	59022	1443	1391	0.43	0.57	0.26	0.33	0.15	0.07	0.04	0.04	0.05	0.02	0.02	0.01	0.01	0
Aubencheul-au-Bac	59023	335	315	0.64	0.36	0.39	0.23	0.13	0.1	0.03	0.02	0.02	0.02	0.03	0.01	0.01	0.01
Auberchicourt	59024	2324	2193	0.64	0.36	0.42	0.21	0.18	0.05	0.02	0.04	0.02	0.02	0.02	0.01	0	0.01
Aubers	59025	1176	1130	0.39	0.61	0.23	0.36	0.12	0.08	0.06	0.03	0.06	0.02	0.02	0.02	0.01	0
Aubigny-au-Bac	59026	683	669	0.7	0.3	0.51	0.18	0.12	0.06	0.01	0.02	0.02	0.03	0.02	0.01	0.01	0
Aubry-du-Hainaut	59027	1000	928	0.45	0.55	0.28	0.34	0.11	0.08	0.03	0.08	0.03	0.01	0.01	0.01	0	0.01
Auby	59028	3539	3183	0.62	0.38	0.39	0.14	0.33	0.04	0.01	0.05	0.01	0.01	0.01	0.01	0.01	0.01
Auchy-lez-Orchies	59029	858	808	0.4	0.6	0.24	0.35	0.14	0.07	0.07	0.03	0.04	0.02	0.02	0.02	0	0.01
Audignies	59031	224	204	0.66	0.34	0.41	0.19	0.1	0.12	0.07	0.01	0.02	0.04	0.02	0.01	0.01	0
Aulnoy-lez-Valenciennes	59032	3161	2950	0.55	0.45	0.36	0.22	0.2	0.05	0.02	0.06	0.02	0.02	0.02	0.02	0.01	0.01
Aulnoye-Aymeries	59033	4297	3949	0.61	0.39	0.37	0.17	0.21	0.05	0.01	0.11	0.02	0.01	0.01	0.01	0.01	0.01
Avelin	59034	1790	1724	0.35	0.65	0.25	0.42	0.1	0.06	0.05	0.03	0.05	0.02	0.02	0.01	0	0
Avesnelles	59035	1261	1227	0.57	0.43	0.36	0.24	0.15	0.06	0.04	0.04	0.03	0.02	0.03	0.01	0.01	0.01
Avesnes-le-Sec	59038	828	768	0.64	0.36	0.45	0.21	0.11	0.06	0.03	0.06	0.02	0.02	0.02	0.01	0	0
Avesnes-les-Aubert	59037	1940	1823	0.71	0.29	0.46	0.14	0.15	0.05	0.02	0.12	0.01	0.01	0.02	0.01	0	0.01
Avesnes-sur-Helpe	59036	1777	1721	0.56	0.44	0.33	0.25	0.21	0.06	0.03	0.04	0.02	0.02	0.01	0.01	0.01	0.01
Awoingt	59039	509	491	0.55	0.45	0.34	0.28	0.11	0.08	0.03	0.03	0.05	0.02	0.02	0.02	0	0
Bachant	59041	1232	1111	0.72	0.28	0.45	0.13	0.19	0.05	0.01	0.11	0.01	0.02	0.02	0	0	0.01
Bachy	59042	1128	1057	0.36	0.64	0.22	0.38	0.15	0.07	0.03	0.02	0.07	0.03	0.02	0.01	0.01	0.01
Bailleul	59043	7996	7732	0.47	0.53	0.31	0.29	0.17	0.06	0.04	0.03	0.04	0.03	0.02	0.02	0.01	0.01
Baisieux	59044	2967	2909	0.35	0.65	0.23	0.38	0.15	0.06	0.04	0.03	0.05	0.02	0.02	0.02	0	0
Baives	59045	57	59	0.58	0.42	0.39	0.3	0.04	0.07	0.04	0.04	0.04	0.05	0.04	0	0.02	0
Bambecque	59046	422	436	0.55	0.45	0.38	0.25	0.14	0.05	0.05	0.01	0.04	0.02	0.02	0.02	0.02	0.01
Banteux	59047	193	178	0.71	0.29	0.46	0.16	0.1	0.04	0.05	0.01	0.02	0.09	0.04	0	0.02	0.01
Bantigny	59048	298	282	0.6	0.4	0.42	0.22	0.11	0.05	0.04	0.03	0.04	0.03	0.02	0.03	0.01	0
Bantouzelle	59049	219	214	0.64	0.36	0.4	0.19	0.16	0.09	0.05	0.03	0	0.03	0.01	0.01	0	0.02
Bas-Lieu	59050	192	176	0.53	0.47	0.36	0.32	0.11	0.04	0.07	0.01	0.03	0.03	0.01	0.02	0	0.02
Bauvin	59052	2906	2795	0.6	0.4	0.4	0.21	0.18	0.04	0.03	0.03	0.03	0.02	0.02	0.01	0.01	0.01
Bavay	59053	1605	1596	0.56	0.44	0.38	0.25	0.14	0.09	0.04	0.02	0.02	0.02	0.01	0.01	0.01	0
Bavinchove	59054	606	595	0.54	0.46	0.37	0.31	0.13	0.03	0.03	0.02	0.02	0.02	0.04	0.02	0	0.01
Bazuel	59055	293	294	0.64	0.36	0.46	0.26	0.09	0.06	0.03	0.03	0.01	0.03	0.01	0	0	0.01
Beaucamps-Ligny	59056	619	594	0.3	0.7	0.17	0.44	0.12	0.07	0.07	0.01	0.07	0.02	0.02	0.01	0.01	0
Beaudignies	59057	364	337	0.56	0.44	0.34	0.24	0.13	0.08	0.04	0.04	0.04	0.04	0.02	0.01	0.01	0.01
Beaufort	59058	555	561	0.63	0.37	0.44	0.25	0.07	0.07	0.05	0.01	0.02	0.04	0.03	0.01	0.01	0.01
Beaumont-en-Cambrésis	59059	277	260	0.66	0.34	0.47	0.16	0.13	0.05	0.05	0.03	0.03	0.02	0.04	0.01	0.01	0
Beaurain	59060	155	158	0.7	0.3	0.46	0.24	0.09	0.08	0.02	0.01	0	0.05	0.03	0	0.01	0.01
Beaurepaire-sur-Sambre	59061	122	128	0.6	0.4	0.4	0.25	0.1	0.11	0.04	0.02	0.01	0	0.04	0.02	0	0.01
Beaurieux	59062	85	77	0.49	0.51	0.33	0.31	0.12	0.06	0.04	0.02	0.05	0.01	0.04	0	0	0.04
Beauvois-en-Cambrésis	59063	1075	1058	0.63	0.37	0.43	0.21	0.15	0.05	0.02	0.04	0.02	0.03	0.02	0.01	0.01	0.01
Bellaing	59064	753	701	0.58	0.42	0.36	0.24	0.17	0.05	0.03	0.05	0.03	0.03	0.02	0.01	0	0.01
Bellignies	59065	444	421	0.58	0.42	0.38	0.26	0.16	0.06	0.04	0.04	0.02	0.01	0.01	0	0	0.01
Bergues	59067	1876	1909	0.49	0.51	0.33	0.31	0.14	0.06	0.04	0.02	0.03	0.03	0.02	0.01	0.01	0.01
Berlaimont	59068	1567	1510	0.6	0.4	0.39	0.23	0.16	0.06	0.04	0.05	0.02	0.02	0.02	0.01	0	0.01
Bermerain	59069	479	434	0.57	0.43	0.41	0.26	0.15	0.03	0.03	0.05	0.02	0.03	0.01	0.01	0.01	0
Bermeries	59070	200	187	0.6	0.4	0.33	0.2	0.14	0.09	0.06	0.04	0.04	0.06	0.03	0	0	0.01
Bersillies	59072	136	138	0.48	0.52	0.34	0.35	0.13	0.04	0.03	0.02	0.01	0.02	0.01	0.02	0.01	0.01
Bersée	59071	1561	1507	0.38	0.62	0.24	0.38	0.12	0.07	0.06	0.02	0.05	0.02	0.02	0.02	0.01	0
Berthen	59073	391	354	0.42	0.58	0.24	0.3	0.14	0.05	0.06	0.03	0.06	0.05	0.03	0.01	0.02	0.02
Bertry	59074	1154	1106	0.66	0.34	0.44	0.21	0.14	0.06	0.02	0.03	0.01	0.03	0.02	0.01	0.01	0.01
Bettignies	59076	159	149	0.58	0.42	0.42	0.25	0.15	0.03	0.03	0.02	0.02	0.03	0.06	0.01	0	0
