code	natl	n0	n1	sex_m	sex_f	age_15	age_60	res_19	res_20	edu_lo	edu_hi	occ_else	occ_empl
59001	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59001	NLD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59001	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59002	BEL	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59002	ITA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59002	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59002	ROU	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59003	BEL	33.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59003	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59003	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59004	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59004	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59004	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59005	BEL	6.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59005	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59005	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59005	PRT	4.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59006	BEL	7.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59006	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59007	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59007	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59008	BEL	16.19	16.19	NA	NA	NA	NA	NA	NA	NA	NA	10.84	NA
59008	BGR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59008	ITA	27.55	27.55	14.55	13	NA	NA	NA	27.55	NA	NA	NA	NA
59008	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59008	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59008	ROU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59009	BEL	102.84	102.84	36.08	66.75	50.05	52.79	34.1	68.73	57.03	45.81	42.46	33.81
