code	natl	pop24	dens24	pop20	dens20
59001	BEL	NA	NA	NA	NA
59001	NLD	NA	NA	NA	NA
59001	PRT	NA	NA	NA	NA
59002	BEL	4	0.0945	NA	NA
59002	ITA	8	0.1889	NA	NA
59002	PRT	NA	NA	NA	NA
59002	ROU	5	0.1181	NA	NA
59003	BEL	33.77	9.1024	NA	NA
59003	ESP	NA	NA	NA	NA
59003	ITA	NA	NA	NA	NA
59004	BEL	NA	NA	NA	NA
59004	ITA	NA	NA	NA	NA
59004	PRT	NA	NA	NA	NA
59005	BEL	6.14	0.1693	NA	NA
59005	ITA	NA	NA	NA	NA
59005	POL	NA	NA	NA	NA
59005	PRT	4.15	0.1144	NA	NA
59006	BEL	7.64	3.3656	NA	NA
59006	ITA	NA	NA	NA	NA
59007	BEL	NA	NA	NA	NA
59007	ITA	NA	NA	NA	NA
59008	BEL	16.19	0.161	19	0.1855
59008	BGR	NA	NA	NA	NA
59008	ITA	27.55	0.2739	36.79	0.3591
59008	POL	NA	NA	NA	NA
59008	PRT	NA	NA	11.01	0.1075
59008	ROU	NA	NA	NA	NA
59009	BEL	102.84	0.164	99.45	0.1568
59009	BGR	6.89	0.011	5.09	0.008
59009	DEU	27.05	0.0431	32.47	0.0512
59009	ESP	88.15	0.1406	103.42	0.1631
59009	ITA	94.86	0.1513	111.92	0.1765
59009	NLD	23.86	0.0381	42.04	0.0663
59009	POL	19.05	0.0304	24.91	0.0393
59009	PRT	110.71	0.1766	147.58	0.2327
59009	ROU	47.54	0.0758	103.38	0.163
59011	BEL	10.1	0.0928	15.65	0.15
59011	BGR	3.54	0.0325	NA	NA
59011	DEU	3.83	0.0352	3.09	0.0297
59011	ESP	NA	NA	4.1	0.0393
59011	ITA	12.67	0.1165	15.2	0.1458
59011	NLD	7.71	0.0709	NA	NA
59011	PRT	17.69	0.1626	20.54	0.1969
59011	ROU	22.38	0.2057	NA	NA
59012	BEL	93.17	2.8756	NA	NA
59012	DEU	NA	NA	NA	NA
59012	ITA	NA	NA	NA	NA
59012	POL	NA	NA	NA	NA
59012	PRT	NA	NA	NA	NA
59013	BEL	NA	NA	NA	NA
59013	DEU	NA	NA	NA	NA
59013	ITA	NA	NA	NA	NA
59013	POL	NA	NA	NA	NA
59013	PRT	NA	NA	NA	NA
59013	ROU	NA	NA	NA	NA
59014	BEL	14.94	0.1106	14.2	0.1067
59014	DEU	NA	NA	NA	NA
59014	ESP	NA	NA	2	0.015
59014	ITA	32.98	0.2442	32.16	0.2417
59014	POL	NA	NA	NA	NA
59014	PRT	NA	NA	8.28	0.0622
59014	ROU	NA	NA	NA	NA
59015	BEL	NA	NA	NA	NA
59015	DEU	NA	NA	NA	NA
59015	ITA	NA	NA	NA	NA
59015	POL	NA	NA	NA	NA
59015	PRT	4	0.1259	NA	NA
59016	BEL	NA	NA	NA	NA
59017	BEL	60.84	0.2345	68.33	0.2746
59017	ESP	17.56	0.0677	25.2	0.1013
59017	ITA	15.9	0.0613	22.71	0.0913
59017	PRT	122.94	0.4738	124.37	0.4998
59017	ROU	21.18	0.0816	NA	NA
59018	BEL	NA	NA	NA	NA
59018	ROU	NA	NA	NA	NA
59019	BEL	4.83	0.4493	NA	NA
59019	DEU	4.04	0.3758	NA	NA
59019	ITA	NA	NA	NA	NA
59021	BEL	20	1.1044	NA	NA
59021	BGR	NA	NA	NA	NA
59021	ESP	NA	NA	NA	NA
59021	ITA	7.09	0.3915	NA	NA
59021	ROU	NA	NA	NA	NA
59022	ESP	4.04	0.1781	NA	NA
59022	ITA	NA	NA	NA	NA
59022	NLD	NA	NA	NA	NA
59022	PRT	NA	NA	NA	NA
59023	ITA	NA	NA	NA	NA
59023	PRT	NA	NA	NA	NA
59024	BEL	4.15	0.089	NA	NA
59024	DEU	NA	NA	NA	NA
59024	ESP	NA	NA	NA	NA
59024	ITA	NA	NA	NA	NA
59024	POL	5.18	0.1111	NA	NA
59024	PRT	NA	NA	NA	NA
59024	ROU	NA	NA	NA	NA
59025	BEL	NA	NA	NA	NA
59025	ESP	NA	NA	NA	NA
59025	ITA	NA	NA	NA	NA
59025	PRT	NA	NA	NA	NA
59026	BEL	NA	NA	NA	NA
59027	BEL	4.04	0.2319	NA	NA
59027	ESP	NA	NA	NA	NA
59027	ITA	NA	NA	NA	NA
59027	NLD	NA	NA	NA	NA
59027	PRT	4.05	0.2325	NA	NA
59028	BEL	7.94	0.1099	7	0.0962
59028	ESP	8.92	0.1235	10	0.1375
59028	ITA	4.98	0.069	8	0.11
59028	POL	8	0.1108	10	0.1375
59028	ROU	NA	NA	NA	NA
59029	BEL	NA	NA	NA	NA
59029	ITA	NA	NA	NA	NA
59029	POL	NA	NA	NA	NA
59029	PRT	NA	NA	NA	NA
59031	BEL	6.13	1.6347	NA	NA
59031	ITA	NA	NA	NA	NA
59032	BEL	8	0.1103	8.07	0.1099
59032	BGR	NA	NA	NA	NA
59032	DEU	NA	NA	3.01	0.041
59032	ESP	5	0.0689	5.04	0.0687
59032	ITA	10	0.1379	11.42	0.1556
59032	NLD	NA	NA	2	0.0272
59032	POL	NA	NA	NA	NA
59032	PRT	5	0.0689	7.06	0.0961
59032	ROU	NA	NA	NA	NA
59033	BEL	20.85	0.2318	23.02	0.2613
59033	DEU	NA	NA	2	0.0227
59033	ITA	10.12	0.1125	10.1	0.1146
59033	NLD	NA	NA	NA	NA
59033	POL	8.99	0.1	9.03	0.1025
59033	PRT	10.9	0.1212	12.01	0.1363
59033	ROU	NA	NA	NA	NA
59034	BEL	12	0.4542	NA	NA
59034	ESP	NA	NA	NA	NA
59034	ITA	4	0.1514	NA	NA
59034	NLD	NA	NA	NA	NA
59034	POL	NA	NA	NA	NA
59034	PRT	4	0.1514	NA	NA
59034	ROU	NA	NA	NA	NA
59035	BEL	6	0.258	NA	NA
59035	ITA	NA	NA	NA	NA
59036	BEL	14.88	0.3498	NA	NA
59036	ESP	NA	NA	NA	NA
59036	ITA	20.96	0.4927	NA	NA
59036	POL	NA	NA	NA	NA
59036	PRT	4	0.094	NA	NA
59037	BEL	4	0.1097	NA	NA
59037	ITA	4.01	0.11	NA	NA
59037	PRT	NA	NA	NA	NA
59038	ESP	NA	NA	NA	NA
59038	ITA	NA	NA	NA	NA
59038	POL	NA	NA	NA	NA
59039	PRT	4.06	0.4988	NA	NA
59041	BEL	7	0.3078	NA	NA
59041	DEU	NA	NA	NA	NA
59041	ESP	NA	NA	NA	NA
59041	ITA	NA	NA	NA	NA
59041	NLD	NA	NA	NA	NA
59041	POL	NA	NA	NA	NA
59041	PRT	NA	NA	NA	NA
59041	ROU	6	0.2639	NA	NA
59042	BEL	14	0.7311	NA	NA
59042	DEU	NA	NA	NA	NA
59042	ESP	NA	NA	NA	NA
59042	ITA	NA	NA	NA	NA
59042	PRT	NA	NA	NA	NA
59043	BEL	39.76	0.2633	49.39	0.3344
59043	DEU	NA	NA	2	0.0135
59043	ITA	NA	NA	2	0.0135
59043	NLD	NA	NA	9.46	0.0641
59043	PRT	11.87	0.0786	8.37	0.0567
59044	BEL	49.44	0.9464	NA	NA
59044	ESP	5.31	0.1016	NA	NA
59044	ITA	12.8	0.245	NA	NA
