pid	code	cm_nat0	cm_nat1	cm_seat
c4de9f6ba2351fd61e7f92fce865dae8	59053	1	1	1
f72b843ef90d295b41aa44217cc120f0	59053	1	0	0
7f78e9b2e619c9db318f12bfcc8a4f50	59053	1	0	0
47d3984b99cad7f26a560791d80b6415	59053	1	0	0
5e8b6d7d9057a4609f91917f5d678080	59053	1	0	0
6047f7e107689b006ce3412881978c2c	59053	1	0	0
5678c4914c5f038db34d142a8280395c	59053	1	1	0
eb78776773ba36420daf5f8c5e0021a7	59053	1	0	0
f452b69bbfbbe4f20e5711317cd8c071	59053	1	0	0
5d1c4e552b1299d01b026afe526fede0	59053	1	0	0
8267333634710c3d14a7b8b4312ebe5e	59053	1	0	0
98b7fcf2ed8037595c7cabc46baf0d3d	59053	1	0	0
88e0c5ceba8078f3637a24e9ae9a9bae	59053	1	0	0
c19e850e7d77607af5b9c7bb9d5fc0b2	59053	1	0	0
9e5563613ba4a8476020d7119b864fda	59053	1	0	0
a25f073e9b255b2dd2e1355deabb774d	59053	1	0	0
6349c2ef89cb2ec0a56e8a9874c3b2dd	59053	1	0	0
7278436a58a19af2d066eb6b9080152f	59053	1	0	0
5a1ff88a1329ad2847b1208b8ea04fd6	59053	1	0	0
103a314df57ecb8cd380021247c58ae0	59053	1	0	0
8b2bd34e8432964fabda7b8a9bde7c01	59053	1	0	0
5dacea9d9761412d479128366faddd5b	59053	1	0	0
fbc7657852fb615a0078c4e6165bc2a6	59053	1	0	0
8411147c66741c5f2f561321d73ab78e	59053	1	0	0
1a26911523c3ba4bb9b3fbd83b0307e3	59053	1	0	0
cc587ac6d704eedad8cb024fe9d2acb9	59053	1	1	0
fd81139fee6127a8a881b690d0bf9498	59053	1	0	0
f294275d7efbfe7dd2dd6b9d0edaf0c8	59053	1	0	0
68af4c042bcdf5df065ae43c14dbdc51	59065	1	1	0
55e2a81cdb87299e1f03052db3da1b18	59065	1	1	0
2615ee1daae9b9b2130448bcbe5d1e7b	59065	1	1	0
9794c51c33b4d461ddf37ea7b21128fd	59065	1	1	0
d7ac01785df2318aa7f03276b76743fe	59065	1	1	0
b4c4f09cf55f804f0133ee291e8dd252	59065	1	1	0
74006f9cdf7bd580ed843be1d8b067a5	59065	1	0	0
1f67eefb6c9dde6beaff4eb0ba69367f	59065	1	1	0
47cf5ddae44aadf4efe43c7190fb78eb	59065	1	1	0
0623a6f1ca2af0496e589cee6ab64cfd	59065	1	1	0
aaf5f5d6bdb4ac3638f9b63a7c1a9f4c	59065	1	1	1
1685e4e170e87923c3adc310d8835cb3	59065	1	1	0
639fcd7fd77ba5e9789f938bdc70c16b	59065	1	1	0
b436e028c16314a7a8d95b6a94e5a294	59065	1	0	0
547ea9057f35f95342cd27744e0fb562	59065	1	1	0
