code	city	observed	empty	in_m1	in_m4
59009	Villeneuve-d'Ascq	1	0	1	1
59328	Lambersart	1	0	1	1
59392	Maubeuge	1	0	1	1
59295	Hazebrouck	1	0	1	1
59527	Saint-André-lez-Lille	1	0	1	1
59014	Anzin	1	0	1	1
59383	Marly	1	0	1	1
59386	Marquette-lez-Lille	1	0	1	1
59449	Orchies	1	0	1	1
59457	Pérenchies	1	0	1	1
59431	Nieppe	1	0	1	0
59484	Quiévrechain	1	0	1	1
59350	Lille	1	0	1	1
59599	Tourcoing	1	0	1	1
59183	Dunkerque	1	0	1	1
59512	Roubaix	1	0	1	1
59378	Marcq-en-Barœul	1	0	1	1
59650	Wattrelos	1	0	1	1
59178	Douai	1	0	1	1
59606	Valenciennes	1	0	1	1
59122	Cambrai	1	0	1	1
59017	Armentières	1	0	1	1
59155	Coudekerque-Branche	1	0	1	1
59646	Wasquehal	1	0	1	1
59368	La Madeleine	1	0	1	1
59279	Halluin	1	0	1	1
59271	Grande-Synthe	1	0	1	1
59299	Hem	1	0	1	1
59163	Croix	1	0	1	1
59360	Loos	1	0	1	1
59410	Mons-en-Barœul	1	0	1	1
59526	Saint-Amand-les-Eaux	1	0	1	0
59507	Ronchin	1	0	1	1
59220	Faches-Thumesnil	1	0	1	1
59172	Denain	1	0	1	1
59508	Roncq	1	0	1	1
59569	Sin-le-Noble	1	0	1	1
59043	Bailleul	1	0	1	1
59421	Mouvaux	1	0	1	1
59152	Comines	1	0	1	1
59286	Haubourdin	1	0	1	1
59139	Caudry	1	0	1	1
59291	Hautmont	1	0	1	1
59491	Raismes	1	0	1	1
59367	Lys-lez-Lannoy	1	0	1	1
59648	Wattignies	1	0	1	1
59574	Somain	1	0	1	1
59090	Bondues	1	0	1	1
59249	Fourmies	1	0	1	1
59636	Wambrechies	1	0	1	1
59112	Bruay-sur-l'Escaut	1	0	1	1
59426	Neuville-en-Ferrain	1	0	0	1
59544	Saint-Saulve	1	0	1	1
59339	Leers	1	0	1	1
59616	Vieux-Condé	1	0	1	1
59011	Annœullin	1	0	1	1
59588	Téteghem-Coudekerque-Village	1	0	1	1
