code	natl	reg24
59003	BEL	41.46
59008	ITA	10.89
59009	BEL	49.59
59009	DEU	51.76
59009	ESP	12.48
59009	ITA	15.81
59009	NLD	37.72
59009	PRT	15.36
59009	ROU	8.41
59012	BEL	31.13
59014	ITA	24.26
59017	BEL	50.95
59017	PRT	18.71
59017	ROU	4.72
59021	BEL	20
59033	BEL	86.33
59036	ITA	14.31
59043	BEL	67.91
59044	BEL	46.52
59045	BEL	29.21
59053	BEL	22.74
59062	BEL	57.69
59065	BEL	57.05
59076	BEL	64.58
59086	BEL	15.77
59090	BEL	65.5
59098	ESP	54.55
59098	PRT	48.39
59101	BEL	46.32
59104	BEL	19.37
59107	BEL	100
59112	BEL	54.56
59112	ITA	22.01
59122	ESP	27.49
59122	POL	5.63
59122	PRT	35.16
59124	BEL	59.27
59139	PRT	49.85
59144	BEL	27.26
59148	BEL	27.67
59151	BEL	32.82
59152	BEL	32.95
59152	ESP	4.65
59152	ITA	22.89
59152	PRT	18.95
59153	BEL	31.71
59153	ITA	43.52
59157	BEL	44.75
59160	BEL	45.02
59160	ITA	14.99
59163	BEL	51.17
59163	ITA	18.51
59163	POL	8.59
59163	PRT	25.03
59172	BEL	42.86
59172	ITA	38.25
59172	PRT	27.5
59178	BEL	61.68
59178	ITA	17.94
59179	ITA	35.39
59179	PRT	30.42
59183	BEL	75.89
59183	DEU	72.9
59183	ESP	10.28
59183	ITA	30.97
59183	POL	9
59183	PRT	26.23
59183	ROU	4.41
59190	BEL	32.01
59198	BEL	54.19
59205	ITA	25.46
59206	PRT	60.59
59212	PRT	5
59220	BEL	21.03
59220	PRT	15.09
59225	BEL	29.53
59225	PRT	42.86
59226	BEL	51.75
59230	BEL	36.22
59231	BEL	49.55
59232	BEL	31.97
59238	BEL	36.22
59249	BEL	55.19
59253	BEL	55.21
59253	ITA	48.28
59260	BEL	100
59262	BEL	49.75
59264	BEL	48.95
59271	ESP	20.58
59271	ITA	37.12
59271	PRT	29.58
59277	BEL	59.8
59279	BEL	43.55
59279	ESP	48.6
59279	ITA	41.77
59279	PRT	47.06
59291	BEL	24.57
